Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia unparatodos semana feliz uncolombia conoce mas orgulloun video noche unimedios 
 respuesta ciertos estimulos puede ser mas eficaz mujeres hombres tatiana manrique z dementescuriosa; j : 55. Sim : 0.13761833; No similar. 
 rt seceducacionant guatape ceja cisneros puerto triunfo santo domingo donmatias formacion escuelas ; j : 56. Sim : 0.38248497; No similar. 
 rt biblioeafit gustaria aprender buscar informacion calidad evaluarla citarla presentar excelente t; j : 57. Sim : 0.2343128; No similar. 
 rt urosarioradio mundolaboralur claustro urosarionews estan reunidas mas 30 organizaciones listas c; j : 58. Sim : 0.10735699; No similar. 
 imagen puede verse altura final puente actualidad altura temporal mas baja const labelurl  ; j : 59. Sim : 0.3867115; No similar. 
 recuerda programarte eventos uncolombia descargando aplicacion circularun feliz fin semana comunida; j : 60. Sim : 0.58601576; Baja. 
 comunidadun recuerda descargar aplicacion circularun programate eventos actividades unparatodos ios; j : 61. Sim : 0.41386443; No similar. 
 terminar dia conoce noticias ver leer escuchar boletinun labelurl unparatodos feliz noche  ; j : 62. Sim : 0.55486476; Baja. 
 terminar gran dia informacion ver leer escuchar boletinun labelurl feliz noche comunidadun  ; j : 63. Sim : 0.5831179; Baja. 
 terminamos gran dia coninformacion unparatodos ver leer escuchar labelurl 985unradio unimedios unte; j : 64. Sim : 0.41473797; No similar. 
 comunidadun recuerda programarte actividades eventos academicos culturales uncolombia descargando a; j : 65. Sim : 0.2748783; No similar. 
 terminemos dia informacion unparatodos ver leer escuchar labelurl boletinun unimedios feliz noche  ; j : 66. Sim : 0.6230336; Baja. 
 buenos dias comunidadun felizlunes deseamos mejor dias excelente semana vacaciones somosun  ; j : 67. Sim : 0.63736844; Baja. 
 buenos dias comunidadun comenzamos dia informacion ver leer escuchar labelurl boletinun unimedios  ; j : 68. Sim : 0.59596103; Baja. 
 comunidadun programate actividades eventos uncolombia ano descargando app circularun feliz noche  ; j : 69. Sim : 0.6022682; Baja. 
 ingresa circularun programate asistir actividades eventos unparatodos feliz fin semana comunidadun ; j : 70. Sim : 0.4904295; No similar. 
 terminar lunes musica unradio nueva aplicacion disponible ios android feliz noche labelurl  ; j : 71. Sim : 0.5928764; Baja. 
 comunidadun encuentra informacion ver leer escuchar aqui labelurl boletinun unimedios 985unradio un; j : 72. Sim : 0.45416722; No similar. 
 comunidadun descubre nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untele; j : 73. Sim : 0.394148; No similar. 
 terminamos dia invitandolos conocer ultima edicion unperiodico leelo aqui labelurl feliz noche  ; j : 74. Sim : 0.58802533; Baja. 
 feliz lunes comunidadun comencemos dia descargando nueva edicion unperiodico labelurl unimedios unp; j : 75. Sim : 0.70851654; Media. 
 feliznoche unparatodos esperamos sido gran comienzo semana linda noche velitas somosun  ; j : 76. Sim : 0.53372014; Baja. 
 feliz noche comunidadun deseamos feliz noche esperamos esten disfrutando vacaciones labelurl somosu; j : 77. Sim : 0.5853401; Baja. 
 feliz martes comunidadun comencemos dia descargando nueva edicion unperiodico labelurl unimedios un; j : 78. Sim : 0.7081925; Media. 
 buenos dias comunidadun deseamos gran jueves hoy dia sentir orgulloun labelurl somosun  ; j : 79. Sim : 0.6975941; Media. 
 encuentra mas informacion uncolombia aqui labelurl ver leer escuchar unimedios untelevision 985unra; j : 80. Sim : 0.47898072; No similar. 
 ivan93707789 buenos dias favor envianos datos mensaje directo proporcionarte informacion solicitada; j : 81. Sim : 0.46514893; No similar. 
 comunidadun terminemos lunes mejor actitud tener gran semana fin ano feliznoche labelurl  ; j : 82. Sim : 0.5871463; Baja. 
 comunidadun aproxima semana camilo torres restrepo encuentra aqui programacion asiste labelurl vriu; j : 83. Sim : 0.5356951; Baja. 
 felizjueves comunidadun hoy nueva edicion boletinun labelurl ver leer escuchar unimedios uncolombia; j : 84. Sim : 0.5378603; Baja. 
 comunidadun despues gran fin semana deseamos mejor tener gran dia felizmartes labelurl  ; j : 85. Sim : 0.5358384; Baja. 
 revistasemana dialogo patricia engel finalista iii premio biblioteca narrativa colombiana pbnc labe; j : 86. Sim : 0.1077259; No similar. 
