Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun estudiantes 2016 
 rt fcompartircol gracias aliados ano tras anos premiocompartir hace posible finalistas 2017 http  ; j : 89. Sim : 0.15619674; No similar. 
 chef carlos gaviria profesor gastronomia eicea presenta hoy libro comida colombiana filbo2017 label; j : 90. Sim : 0.23208126; No similar. 
 rt inguniandes casos exitosos implant corazon artificial viii sem ingenieria biomedica bio uniandes; j : 91. Sim : 0.37201628; No similar. 
 rt jeronimorivera manana tendre invitada lujo direcciondeactores unisabana buena amiga gran actriz ; j : 92. Sim : 0.27243578; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 93. Sim : 0.57015485; Baja. 
 escucha donkristobal the warriors concierto ser pilo paga universidad ces 6 octubre 100 p labelurl ; j : 94. Sim : 0.25256875; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 95. Sim : 0.57015485; Baja. 
 tan facil va ser resocializacion menores farc analisis neila diaz via eltiempo labelurl  ; j : 96. Sim : 0.33117098; No similar. 
 rt chechecifuentes almorzando yarumal tierra natal ilustre octavio arismendi qepd ex gobantioquia f; j : 97. Sim : 0.2192514; No similar. 
 uniandes quiere consolidar beca deportiva inscribete carrera 10 5k labelurl mepongolostenis bogota ; j : 98. Sim : 0.32908535; No similar. 
 rt ccykcolombia lasabanaabroad unisabana present the opportunities for collaboration with northern ; j : 99. Sim : 0.2715565; No similar. 
 rt oaduniandes enlamemoria arturo infante villarerreal der rector uniandes periodo 19852005 inventa; j : 100. Sim : 0.27881676; No similar. 
 rt urosarioradio cuantos libros lees ano colombia paises indices mas bajos lectura enterate  ; j : 101. Sim : 0.51752955; Baja. 
 rt oaduniandes enlamemoria bertha eugenia laserna brando secretaria general facultad ingenieria ing; j : 102. Sim : 0.29461262; No similar. 
 constitucion 91 incluyo contexto declara pertenece mundo cabemos habla conflicto clara atehortua  ; j : 103. Sim : 0.011416229; No similar. 
 gastronomia chef carlos gaviria profesor eicea presenta obra tecnicas profesionales cocina colombia; j : 104. Sim : 0.2447707; No similar. 
 kathryn clifton recomienda usar google adwords identificar palabras clave hagan atractivos titulos ; j : 105. Sim : 0.074788; No similar. 
 rt comsabana gran lucha redaccion elespectador pensar multimedia sola vez fidelcanoco habla 2period; j : 106. Sim : 0.28845152; No similar. 
 ies lider pais alcanzando posicion 254 nivel mundial rank qs somosorgulloun topunis labelurl  ; j : 107. Sim : 0.34254777; No similar. 
 23 25 noviembre estan invitados conferencia mes2016 acceso universal energia america latin labelurl; j : 108. Sim : 0.32533357; No similar. 
 despues 10 anos marisa martins regresa cautivar publico lirica voz junto sinfonicaeafit labelurl  ; j : 109. Sim : 0.26570958; No similar. 
 rt memoriauniandes ayeryhoy nuevo bloque c edificio facultad arquituniandes throwbackthursday logro; j : 110. Sim : 0.39343426; No similar. 
 hoy 57anoseafit tambien homenajeamos empleados docentes administrativos cumplen 10 15 20 25 labelur; j : 111. Sim : 0.2673205; No similar. 
 23 25 noviembre estan invitados conferencia mes2016 acceso universal energia america latin labelurl; j : 112. Sim : 0.32533357; No similar. 
 hoy celebramos dia bacteriologo conmemoracion natalicio doctor federico lleras acosta gracias to la; j : 113. Sim : 0.35390738; No similar. 
 rt inguniandes manana 21 abril tres grandes conferencias nuevas tecnologias semanasistemasieee 2016; j : 114. Sim : 0.4990496; No similar. 
 rt apgguzman 100 kg asientos ergonomicos alta resistencia mibicipostobon entregan 90 estudiantes un; j : 115. Sim : 0.25766018; No similar. 
 rt oaduniandes ayeryhoy vista bloque g edificio roberto franco honor primer rector uniandes throwba; j : 116. Sim : 0.25536498; No similar. 
 rt oaduniandes enlamemoria maestro sergio acevedo gomez integrante coro uniandes anos 60 culturauni; j : 117. Sim : 0.36569163; No similar. 
 rt usembassybogota carolina serrano unisabana presenta buenas practicas beca 100kstrongamericas niu; j : 118. Sim : 0.42301533; No similar. 
 rt eicea felices paris aprendiendo ieseg school of management cursodeverano international fashion b; j : 119. Sim : 0.20188946; No similar. 
 rt vmanriquezul solo guajira crisis alimentaria afirma contralor general foro universidad rosario u; j : 120. Sim : 0.16736433; No similar. 
 rt uniandinosiempr colombia necesitamos liderazgo servicio oportunidad contribuir hoy frank pearl i; j : 121. Sim : 0.22129168; No similar. 
 rt economiauandes fotos hackathon desarrollo soluciones cognitivas datos abiertos gobierno dnpcolom; j : 122. Sim : 0.26559672; No similar. 
 aun saben estudiar estudiantes 10 11 12 26 27 abril invitamos experienciaeafit labelurl  ; j : 123. Sim : 0.30040962; No similar. 
 obdulio habla revistasemana serpilopaga mas palo programa ser pilo paga labelurl educacion colombia; j : 124. Sim : 0.32632777; No similar. 
 interesante articulo rector uncolombia mantillaignacio tiempo implementar grado 12 unimedios via el; j : 125. Sim : 0.48637152; No similar. 
 hace imperativo consumo droga aborde perspectiva salud publica bo mathiasen unodc foroungasscol  ; j : 126. Sim : 0.089472; No similar. 
 rt clinunisabana participa zona libre trombosis 28 noviembre 10 manana esperamos salud prevencion  ; j : 127. Sim : 0.32343933; No similar. 
 rt serpilopaga potencial pilo recuerda si credito condonable preseleccionado debes seguir pasos ser; j : 128. Sim : 0.11161107; No similar. 
 rt labatyfilms seleccion oficial fiafest videoclip tiempo extra alla vamos bogota comsabana unisaba; j : 129. Sim : 0.42341596; No similar. 
 jaime jaramillo poemas rio cauca amanecer espanol eafit poesia lector culto tambie labelurl  ; j : 130. Sim : 0.36428246; No similar. 
 rt comsabana sigabienpueda recuerden antiguo semaforo ahora nombre distinto nuevo sistema siga unis; j : 131. Sim : 0.21961264; No similar. 
 rt editorialur hoy termina filbo2017 libros destacados debes ir buscar descuentos especiales lee  ; j : 132. Sim : 0.16503963; No similar. 
 rt maesaludydiscap viernes plazo hacer parte programa unisabana si aun dudas escribenos ht  ; j : 133. Sim : 0.25633788; No similar. 
 rt editorialur libros 10 mejores libros academicos 2016 elespectador conozca top 10 aqui labelurl  ; j : 134. Sim : 0.42343053; No similar. 
 salud cundinamarca observatorio sabana centro vamos preocupan casos embarazo adolescente labelurl v; j : 135. Sim : 0.23549125; No similar. 
 rt comsabana acaba arrancar trenusabana rumbo unisabana tiempo estimado recorrido unisabana 59 minu; j : 136. Sim : 0.31315577; No similar. 
 solo 19 10 millones estudiantes colombia cursan programas alta calidad daniel payares labelurl  ; j : 137. Sim : 0.40305814; No similar. 
 rt agenciatierras manana eafit continuamos socializacion proyecto ley tierras recuerda inscripcion ; j : 138. Sim : 0.3321033; No similar. 
 articulo eric quintane seleccionado best paper proceed academy of management unidos labelurl  ; j : 139. Sim : 0.1334267; No similar. 
 invertir quieroestudiar inversion mayor retorno andres morales socio sublat franquicia subway label; j : 140. Sim : 0.2418584; No similar. 
 rt inguniandes directo periscope daniel cadena luisguzman corredores 5to lugar carrerademodossemana; j : 141. Sim : 0.40764886; No similar. 
 rt oaduniandes recordando ayeryhoy edificio mccarthy bloque j vista departamento matematicas cienbi; j : 142. Sim : 0.31251562; No similar. 
 rt hernanolano felicidades unisabana 37 anos comsabana derechousabana trenusabana alumnisabana clin; j : 143. Sim : 0.41293478; No similar. 
 pregunta parece justificable subirle tarifa tm 10 sitp 17 minimo subio 7  ; j : 144. Sim : 0.12355494; No similar. 
 noticiaun unmanizales disenan brasier electronico deteccion cancer mama labelurl orgulloun via unim; j : 145. Sim : 0.6374541; Baja. 
