Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia feliz unparatodos mas conoce semana uncolombia video noche dias 
 comunidadun consejos expresatebien comunicate mejor aplicar dias labelurl feliz noche campanaun  ; j : 114. Sim : 0.636111; Baja. 
 buenos dias feliz comienzo semana felizlunes toda comunidadun acompana diariamente labelurl  ; j : 115. Sim : 0.7287462; Media. 
 comunidadun feliznoche feliz fin semana proxima semana volvemos mas unparatodos labelurl  ; j : 116. Sim : 0.7495077; Media. 
 feliznoche terminemos semana conociendo repositorio digital metacampusun labelurl feliz fin semana ; j : 117. Sim : 0.5428674; Baja. 
 noche consejos aplicar siempre expresatebien comunicate mejor campanaun labelurl feliz noche  ; j : 118. Sim : 0.5687946; Baja. 
 felizmiercoles unparatodos comenzar gran dia noticias diariamente hacen sentir orgulloun labelurl  ; j : 119. Sim : 0.5496721; Baja. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 120. Sim : 0.7868257; Media. 
 felizmiercoles unparatodos comenzar gran dia noticias diariamente hacen sentir orgulloun labelurl  ; j : 121. Sim : 0.5496721; Baja. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 122. Sim : 0.7868257; Media. 
 feliz noche comunidadun terminemos dia musica unparatodos video playback unmedellin labelurl  ; j : 123. Sim : 0.70794564; Media. 
 comunidadun escucha unradio descargando nueva app disponible ios android 985unradio labelurl  ; j : 124. Sim : 0.32966843; No similar. 
 comunidadun consejos expresatebien comunicate mejor puedes encontrarlos aqui labelurl aplicalos cam; j : 125. Sim : 0.36148924; No similar. 
 comunidadun eventos actividades academicas culturales uncolombia estan aqui labelurl circularun unp; j : 126. Sim : 0.42102602; No similar. 
 comunidadun recuerda tener cuenta consejos expresatebien comunicate mejor labelurl aplicalos campan; j : 127. Sim : 0.28141385; No similar. 
 terminar lunes musica unradio emision web labelurl unradioweb feliz noche comunidadun  ; j : 128. Sim : 0.6684708; Baja. 
 terminar viernes tener gran fin semana programateun actividades culturales unparatodos labelurl  ; j : 129. Sim : 0.50639564; Baja. 
 guion truhan tilde ortografia espanol lucia fraca guerrera barrera losperiodistasenunisabana  ; j : 130. Sim : 0.23262876; No similar. 
 comunidadun recuerda descargar aplicacion circularun conocer mas eventos actividades unparatodos  ; j : 131. Sim : 0.38406077; No similar. 
 felizmiercoles comencemos gran dia videos hacen parte repositorio digital metacampusun labelurl  ; j : 132. Sim : 0.40694037; No similar. 
 comunidadun comenzamos dia videos musicaun programa playback labelurl feliz viernes unparatodos  ; j : 133. Sim : 0.67096215; Media. 
 felizlunes comenzamos semana celebrando dia mundial radio toda comunidadun 985unradio labelurl  ; j : 134. Sim : 0.6078064; Baja. 
 comunidadun visitaste exposicion museodearteun conoce mas aqui labelurl video divcultural unbogota ; j : 135. Sim : 0.5521862; Baja. 
 comenzamos dia videos musicaun programa playback untelevision labelurl feliz miercoles comunidadun ; j : 136. Sim : 0.64174604; Baja. 
 feliznoche toda comunidadun diariamente acompana rede sociales gracias unparatodos somosun  ; j : 137. Sim : 0.36499622; No similar. 
 descargaste aplicacion circularun instalala programate eventos actividades tendra 2016 unparatodos ; j : 138. Sim : 0.38831487; No similar. 
 comunidadun terminar jueves conoce agenda actividades trae circularun labelurl feliz noche  ; j : 139. Sim : 0.5870167; Baja. 
 comunidadun perdiste rendicion cuentas 2015 uncolombia encuentra video aqui labelurl launcuenta  ; j : 140. Sim : 0.5220552; Baja. 
 comunidadun terminaron viernes esperamos gran dia mejor fin semana unparatodos  ; j : 141. Sim : 0.6928997; Media. 
 comunidadun terminar lunes click museo ciencia juego samoga unmanizales video labelurl  ; j : 142. Sim : 0.4208315; No similar. 
 terminar gran dia dejamos unradio programacion cultural musical unparatodos labelurl 985unradio  ; j : 143. Sim : 0.3611421; No similar. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos felizjueves unparatodos  ; j : 144. Sim : 0.67802393; Media. 
 amor espanol literatura bogdan piotrowski academico numero academia colombiana lengua labelurl  ; j : 145. Sim : 0.22872289; No similar. 
 comunidadun deseamos gran semana comencemos dia informacion unparatodos labelurl unimedios felizlun; j : 146. Sim : 0.7057752; Media. 
 santycadavidd buenos dias lamentamos sucedido lista publicara hoy final dia labelurl  ; j : 147. Sim : 0.6462841; Baja. 
 feliz comienzo semana comunidadun gran lunes informacion unparatodos labelurl unimedios somosun  ; j : 148. Sim : 0.7026044; Media. 
 siendo afectados procesos machine learn martha alice losada rectora uantonionarino labelurl  ; j : 149. Sim : 0.10293245; No similar. 
 diosserfmlipais caso favor clic dice active cuenta aqui siga instrucciones  ; j : 150. Sim : 0.34911084; No similar. 
 descubre detalles exposicion mas alla cliche fondo fotografico ernest bourgarel labelurl  ; j : 151. Sim : 0.37901336; No similar. 
 hoy comenzamos dia videos musicaun programa playback labelurl feliz miercoles comunidadun  ; j : 152. Sim : 0.68212545; Media. 
 museosun tambien estan circularun conocelos programa visita labelurl feliz noche unparatodos  ; j : 153. Sim : 0.5874141; Baja. 
 hoy comenzamos dia videos musicaun programa playback labelurl feliz miercoles comunidadun  ; j : 154. Sim : 0.68212545; Media. 
 descargaste nueva app radio escucha programacion celular disponible ios an labelurl  ; j : 155. Sim : 0.4141694; No similar. 
 comunidadun conoces museos uncolombia aqui puedes encontrarlos labelurl programa visita circularun ; j : 156. Sim : 0.36004034; No similar. 
 ayudanos escoger portada cuaderno ur hoy fecha limite votar labelurl suenoser labelurl  ; j : 157. Sim : 0.36976045; No similar. 
 rt astudycare fin viernes feliz fin semana zzzzzzzzz australia studycare colombia labelurl labelurl; j : 158. Sim : 0.53329235; Baja. 
 cabos sueltos 2 aqui meto mas autobiografico lectura eduardo escobar filbo2017  ; j : 159. Sim : 0.3719464; No similar. 
 senek carrera 5k 10k fondos seran dirigidos beca quiero estudiardeportes labelurl labelurl  ; j : 160. Sim : 0.15433152; No similar. 
 falso raiz suspension aspersion area crecido cultivos ilicitos ediazur foroungasscol  ; j : 161. Sim : 0.25077492; No similar. 
 senek carrera 5k 10k fondos seran dirigidos beca quiero estudiardeportes labelurl labelurl  ; j : 162. Sim : 0.15433152; No similar. 
 sabias gran mayoria accidentes uncolombia dan uso bicicletas dirbienestarun cuida labelurl  ; j : 163. Sim : 0.31270388; No similar. 
 buenviernes hoy click obras guillermo botero gutierrez unmanizales video labelurl untelevision  ; j : 164. Sim : 0.3692551; No similar. 
 comundiadun recuerda consultar agenda nacional eventos actividades academicas unparatodos labelurl ; j : 165. Sim : 0.2496921; No similar. 
 encuentra canal oficial youtube conferencia magistral presidente irlanda michael d higgings labelur; j : 166. Sim : 0.29976755; No similar. 
 comundiadun recuerda consultar agenda nacional eventos actividades academicas unparatodos labelurl ; j : 167. Sim : 0.2496921; No similar. 
 paso bojaya duro golpeo fe esperanza padre antun ramos lapazesposible  ; j : 168. Sim : 0.25582638; No similar. 
 leflacguy politicaur buenos dias queremos saber mas inconvenientes favor envianos labelurl  ; j : 169. Sim : 0.42945704; No similar. 
 comunidadun conoces repositorio digital metacampusun descubre nueva ventana mundo labelurl unparato; j : 170. Sim : 0.27749625; No similar. 
 conoces repositorio digital metacampusun descubre nueva ventana mundo video labelurl unparatodos  ; j : 171. Sim : 0.28712335; No similar. 
 feliz lunes comunidadun bienvenidos nueva semana campus universidad unparatodos somosun labelurl  ; j : 172. Sim : 0.5587531; Baja. 
 proxima semana podras conocer logros unbogota ultimo ano enquevamos unbogota labelurl  ; j : 173. Sim : 0.5833864; Baja. 
 felizmartes buenos dias comunidadun bienvenidos nuevo dia campus universidad unparatodos labelurl  ; j : 174. Sim : 0.6048968; Baja. 
 llego filbo2017 nuevos productos tiendaun visita stand 103 uncolombia unparatodos labelurl  ; j : 175. Sim : 0.22234693; No similar. 
 felizmiercoles bienvenidos nuevo dia campus universidad uncolombia deseamos gran dia labelurl  ; j : 176. Sim : 0.5485827; Baja. 
 hoy dia conocer mas saber docentes repositorio digital metacampusun labelurl unparatodos  ; j : 177. Sim : 0.43574935; No similar. 
