Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz unisabana manana 
 rocca marko 93 concierto esperamos manana auditorio fundadores 730 pm entrada libre labelurl  ; j : 54. Sim : 0.47611386; No similar. 
 firma quacquarelli symonds califico uniandes cuatro estrellas sistema medicion calidad qs star labe; j : 55. Sim : 0.14011624; No similar. 
 mediano plazo mafias vuelven logros desarrollo rural marchitan guillermo garcia unodcesp foroungass; j : 56. Sim : 0.34911838; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 57. Sim : 0.32863668; No similar. 
 noche coral tomara eafit 2 agosto auditorio fundadores partir 630 pm entrada libre labelurl  ; j : 58. Sim : 0.45154384; No similar. 
 rt coninsaramonh alturas finales puente vez construido estaran 532m 604m cumpliendo norma estableci; j : 59. Sim : 0.20930466; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 60. Sim : 0.32863668; No similar. 
 rt bibliotecaur agua alegoria limpieza transformacion vida obra manantial vida eterna crai culturar; j : 61. Sim : 0.25789788; No similar. 
 kavaloma saludos dependencia desea comunicarse si desea podemos orientarle traves mensajes directos; j : 62. Sim : 0.2557044; No similar. 
 hoyeneafit conversatorio movilidad peatonal sera bloque 19501 partir 500 pm entrada libre labelurl ; j : 63. Sim : 0.36038664; No similar. 
 hoyeneafit sera homenaje vida musical leon cardona 700 pm auditorio fundadores esperamos labelurl  ; j : 64. Sim : 0.5175955; Baja. 
 rt facisouniandes lenguasnativas memoria abuelo sabedor miru puu voz tukano vaupes margarita becerr; j : 65. Sim : 0.1985127; No similar. 
 libro muestra resultado 60 anos trabajo conjunto 850 cientificos colombianos franceses conozcal lab; j : 66. Sim : 0.3090624; No similar. 
 fedfernandez problemas tecnicos aire acondicionado apagado bloques informamos area encargada abrir ; j : 67. Sim : 0.2062414; No similar. 
 premios gemis reconocen mejores proyectos finales ingenieria sistemas vea gala hoy 500pm labelurl  ; j : 68. Sim : 0.33262724; No similar. 
 rt hablemosdepazur financiacion partido politico farc seria mayor partidos pda alianza verde podri ; j : 69. Sim : 0.35010937; No similar. 
 sabes iniciativas ciudadanas creado hablar acuerdo hoy 300 pm lapazenfoco institucionaltv untelevis; j : 70. Sim : 0.34596187; No similar. 
 incremento consumo heroina sera tema decisivo politicas anti drogas franciscocumsi1 cicadoea foroun; j : 71. Sim : 0.2543748; No similar. 
 rt onumujerescol alianza urosarionews potenciara visibilidad temas comun inter participacion mujere; j : 72. Sim : 0.49687305; No similar. 
 esperamos manana encuentro cafe ciudad sos aire amenaza continua partir 400 pm labelurl  ; j : 73. Sim : 0.5340874; Baja. 
 informamos dia manana realizara funcion titirifestival debido eafit sera punto votacion domingo  ; j : 74. Sim : 0.5098267; Baja. 
 descubre talento llego hora pintar viii maraton pintura rapida bienestarsabana inscripciones abier ; j : 75. Sim : 0.18942901; No similar. 
 areametropol minutos traves facebooklive rueda prensa firma contrato eafit fortalecer trabajo cient; j : 76. Sim : 0.35655782; No similar. 
 inicia lapazenfoco programa pedagogico apuesta construccion paz hoy paz querida untelevision instit; j : 77. Sim : 0.52647966; Baja. 
 evidencia cientifica frente problema drogas genera tiempo requiere recursos franciscocumsi1 cicadoe; j : 78. Sim : 0.08952482; No similar. 
 hoyeneafit disfruten secuenciacion nanopore bloque 38 auditorio 110 500 pm ver mas labelurl  ; j : 79. Sim : 0.40960357; No similar. 
 reglas juego rama judicial operan jep rafael nieto loaiza ex vicemin justicia labelurl  ; j : 80. Sim : 0.19786541; No similar. 
 charla icea estrategias market millennials marzo 28 200 pm 400 pm auditorio k 1 labelurl  ; j : 81. Sim : 0.4545398; No similar. 
 hoy celebraremos 15 anos programa tutoria becarios vemos 200 pm detras canchas g labelurl  ; j : 82. Sim : 0.49650708; No similar. 
 josefina agudelo podemos hacer panorama retador portafolios iniciativas idi ser sostenibles colombi; j : 83. Sim : 0.21939173; No similar. 
 rt corresponsables maria teresa audelo kpmg reflexiona participacion mujeres junta directiva forood; j : 84. Sim : 0.40937817; No similar. 
 profesor jeremy waldron new york university school of law nyu estara unisabana labelurl  ; j : 85. Sim : 0.37200558; No similar. 
 rt inguniandes videoque paso bogota prehispanica repleta rios humedales uniandesicya quiere recuper; j : 86. Sim : 0.3724988; No similar. 
 hoyeneafit presenta amor guerra apeninos xiii ciclo literatura 630 pm ver mas labelurl  ; j : 87. Sim : 0.42203507; No similar. 
 presentacion libro dibujar nacion 14 junio libreria fondo cultura economica 600 pm labelurl  ; j : 88. Sim : 0.5717174; Baja. 
 lleva cultura colombiana peru ayuda demas promocion rural peru inform inscripciones daniellagu labe; j : 89. Sim : 0.5526797; Baja. 
 colombomedellin hoy primer dia programa liderazgo kyb eafit 6 jovenes nashville aprenden empoderami; j : 90. Sim : 0.5026302; Baja. 
 rt cancilleriaur entorno social politico economico china charla market estrategia comercial china u; j : 91. Sim : 0.2824244; No similar. 
 rt hablemosdepazur farc pueden llegar 350mil votos necesarios obtener curul senado todavia sabemos ; j : 92. Sim : 0.33492061; No similar. 
 ano 1990 logran reducir tasa muertes paises europeos expone mauricio garcia eafit labelurl  ; j : 93. Sim : 0.39634153; No similar. 
 manejar riesgos internet hace falta hablar tema frente evidenciar conductas hacen dano labelurl  ; j : 94. Sim : 0.015752977; No similar. 
 rt apgguzman lucia fraca barrera universidad pedagogica experimental libertador ahora seminario per; j : 95. Sim : 0.36329326; No similar. 
 colombia sigue pensando uniones maritales hecho menor categoria inconsciencia social guillermo mont; j : 96. Sim : 0.3145327; No similar. 
 rt sinescosas ecodeksas ciclo agrega valor agendate acompana andres martinez manana 6pm eafit label; j : 97. Sim : 0.43883142; No similar. 
 rt fismed iniciamos segunda jornada fismed eafit studioselim estrategias contenidos audiovisuales a; j : 98. Sim : 0.28696293; No similar. 
 acerca dia internacional danza eafit celebracion sera 28 abril partir 300 pm labelurl  ; j : 99. Sim : 0.49996197; No similar. 
 elca recopila datos impactos pobreza proceso paz 5 regiones colombia mas 290 municipios labelurl  ; j : 100. Sim : 0.3851368; No similar. 
 andres lopera gomez egresado hoy eafit reconoce labor destacada cultura arte deporte labelurl  ; j : 101. Sim : 0.47475335; No similar. 
 cuales retos adultos generar mejores condiciones infancia pais vealo hoy lapazenfoco institucionalt; j : 102. Sim : 0.450019; No similar. 
 emociona ver sonamos hace 40 anos hoy materializado exito hector ochoa exrector d labelurl  ; j : 103. Sim : 0.42003468; No similar. 
 sachs lider mundial desarrollo sostenible destaco excelencia uniandes liderar nuevo centro pi label; j : 104. Sim : 0.24906726; No similar. 
 rt biblioeafit hoy truequeliterarioeafit haremos enfasis proposito hacer cada dia leamos mas univer; j : 105. Sim : 0.49890786; No similar. 
 medida ayudaria evitar 700 muertes ano diabetes enfermedades cardiovasculares cancer agaviriau mins; j : 106. Sim : 0.19696297; No similar. 
 rol juntas accion comunalen colombia hoy lapazenfoco 300 pm institucionaltv piensapazunal uncolombi; j : 107. Sim : 0.5752102; Baja. 
 rt biblioeafit hoy pierdan club lectores comic eafit entrada libre previa inscripcion labelurl ht  ; j : 108. Sim : 0.3596164; No similar. 
 hoy 730 pm primer encuentro interuniversitario coros orquestas auditorioleondegreiff entrada libre ; j : 109. Sim : 0.37185; No similar. 
 hoyeneafit pierdan aula fabricato partir 1200 pm catedra asia peninsula coreana  ; j : 110. Sim : 0.5656592; Baja. 
 rt camaraoriente eventoscamara instituciones territorio apoyar proyectos aporten dllo sostenible dr; j : 111. Sim : 0.42420912; No similar. 
 hoyeneafit esperamos tercer conversatorio mesita noche partir 630 pm sala audicion labelurl  ; j : 112. Sim : 0.48981348; No similar. 
 hoyeneafit esperamos conversatorio mesita noche partir 630 pm sala audicion musical labelurl  ; j : 113. Sim : 0.47666216; No similar. 
 alturas finales puente vez construido estaran 532m 604 m cumpliendo norma establecida 4  ; j : 114. Sim : 0.23922837; No similar. 
 rt profebarreto wilmergober dptolaguajira laguajirahoy laguajiragob culturadir mineducacion yanethg; j : 115. Sim : 0.32156384; No similar. 
 rt filbogota iniciamos seminario internacional derechos autor marco filbo2017 derechodeautor camlib; j : 116. Sim : 0.25849015; No similar. 
 hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 117. Sim : 0.28310764; No similar. 
 rt filbogota iniciamos seminario internacional derechos autor marco filbo2017 derechodeautor camlib; j : 118. Sim : 0.25849015; No similar. 
 hoy 300 pm auditorioleondegreiff musica colombiana director leonardo marulanda entrada libre labelu; j : 119. Sim : 0.50107986; Baja. 
 hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 120. Sim : 0.26452032; No similar. 
 hernando barragan decano arquitectura diseno nuevo arquitecto diseno jefe arduino orgullouniandes l; j : 121. Sim : 0.32024243; No similar. 
 cantos boga sera eafit 4 agosto auditorio fundadores 730 pm vidacultural cultura labelurl  ; j : 122. Sim : 0.5476494; Baja. 
 areametropol siatamedellin seguira consolidandose instrumento tecnico investigacion gracias contrat; j : 123. Sim : 0.33794463; No similar. 
 hoyeneafit esperamos primer conversatorio mesita noche partir 630 pm sala audicion labelurl  ; j : 124. Sim : 0.4872953; No similar. 
 acerca hora almuerzo ganas variar vea menu mapa restaurantes participan fopr labelurl  ; j : 125. Sim : 0.2052459; No similar. 
 hoyeneafit esperamos segundo conversatorio mesita noche partir 630 pm sala audicion labelurl  ; j : 126. Sim : 0.4838917; No similar. 
 15 junio esperamos partir 500 pm encuentro ciudadano seguridad convivencia ciudada labelurl  ; j : 127. Sim : 0.3906363; No similar. 
 breve lapazenfoco henrymedinau beatrizquinlop laurapachecosil dario fajardo paz querida institucion; j : 128. Sim : 0.41429868; No similar. 
 seminario investigacion fcnm molecular basis of adaptive phenotypes in tropical butterfly labelurl ; j : 129. Sim : 0.20449068; No similar. 
 molecular basis of adaptive phenotypes in tropical butterfly seminario investigacion fcnm labelurl ; j : 130. Sim : 0.20449068; No similar. 
 ciudades educadas pais parece votaron miedo prejuicio contrainformacion diego cancino pnud  ; j : 131. Sim : 0.2627316; No similar. 
 hoyeneafit realizara conversatorio movilidad peatonal 500 pm bloque 19501 entrada libre labelurl  ; j : 132. Sim : 0.3062275; No similar. 
 importancia rol iglesia proceso paz manana lapazenfoco institucionaltv 300 pm piensapazunal  ; j : 133. Sim : 0.56222785; Baja. 
 alimentos sirven especulacion financiera aumento precio alimentos basicos condeno millones hambre  ; j : 134. Sim : 0.3096606; No similar. 
 tres expertos tema ambiental hablan posacuerdo hoy 300 pm lapazenfoco institucionaltv labelurl  ; j : 135. Sim : 0.23749487; No similar. 
 kilele saludos podemos ayudarle si desea puede escribirnos traves mensajes directos  ; j : 136. Sim : 0.20086294; No similar. 
 rt ceasiapacifico primer concurso coreano universidad eafit acompananos tarde kpop officialkoica ce; j : 137. Sim : 0.3993195; No similar. 
 hoy filbo2017 presentacion libro idealista pragmatico jeremy adelman 300 pm estand labelurl  ; j : 138. Sim : 0.5448461; Baja. 
 conoces acuerdos habana manana 300 pm pierdas nuevo capitulo lapazenfoco institucionaltv  ; j : 139. Sim : 0.51720846; Baja. 
 colombiano sabes significa proceso paz pierdas lapazenfoco hoy 300 pm institucionaltv  ; j : 140. Sim : 0.43128723; No similar. 
 rt colciencias nuevo modelo publindex promovemos impacto visibilidad publicaciones ctei estandares ; j : 141. Sim : 0.08862383; No similar. 
 jody williams nobel paz hablara hoy 330 pm lucha minas nobeldepazenlosandes labelurl  ; j : 142. Sim : 0.38817486; No similar. 
 martinezvox santiagocancion leeranaldo saludos duratne dia hoy publicaremos acceso obtener boletas ; j : 143. Sim : 0.36570016; No similar. 
 espera minutos preguntas trivia transformandovidas podras ganar postre myriam camhi participa label; j : 144. Sim : 0.27749547; No similar. 
 rt areametropol firmamos convenio eafit disenar plan seguridad convivencia paz alcance supramunicip; j : 145. Sim : 0.3853144; No similar. 
 espera minutos preguntas trivia transformandovidas podras ganar postre myriam camhi participa label; j : 146. Sim : 0.27749547; No similar. 
 rt laagendadelmar esperamos hoy casa musica parque deseos 500 pm entrada libre labelurl  ; j : 147. Sim : 0.4747165; No similar. 
 rt colciencias seguimos trabajando manera articulada mejorar impacto visibilidad produccion cientif; j : 148. Sim : 0.24126019; No similar. 
 rt ausechea gloria alvarez dividir sociedad odio primer paso manual populista admonurosario labelur; j : 149. Sim : 0.26402333; No similar. 
 tarde musica letras filbo2017 ricardo visbal profesor facultad filosofia ciencias humana labelurl  ; j : 150. Sim : 0.37860033; No similar. 
 excelenciauniandes ser 5ta universidad america latina segun time higher education latamrankings lab; j : 151. Sim : 0.35644943; No similar. 
 ricardojllo puede contactar repres telefono 2619500 ext 9020 correo representanteseafiteduco 22  ; j : 152. Sim : 0.2153658; No similar. 
 reto preparacion pais frente amenazas sismicas debemos generar conocimiento procedimientos ge label; j : 153. Sim : 0.2949701; No similar. 
 inicia lapazenfoco programa pedagogico plural apuesta construccion paz piensapazunal institucionalt; j : 154. Sim : 0.40470585; No similar. 
 eafit invita manana partir 530 pm entrega reconocimiento egresados inspiran esper labelurl  ; j : 155. Sim : 0.47396883; No similar. 
 rt telemedellin viernes llega primer encuentrostelemedellin20anos universidad eafit entrada libre g; j : 156. Sim : 0.37831932; No similar. 
 rt educaunisabana finalizamos conferencia profesor john elliott firmando libro visitantes ilustres ; j : 157. Sim : 0.3373447; No similar. 
 hoyeneafit olviden encuentro cafe ciudad sos aire amenaza continua 400 pm labelurl  ; j : 158. Sim : 0.51677537; Baja. 
 hoyeneafit mahmoud mohieldin estara dialogo juventud bloque 38 101 500 pm labelurl  ; j : 159. Sim : 0.48387098; No similar. 
