Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos 
 presentacion libro ecopetrol 60 anos historia 19512011 530 pm salon maria mercedes carranza labelur; j : 73. Sim : 0.48062414; No similar. 
 rt cpoliticasus hora prof rodriguez iturbe presenta libro gatos pardos stand unisabana filbogota ht; j : 74. Sim : 0.38639808; No similar. 
 rt oaduniandes enlamemoria eduardo alvarez correa 19321997 destacado pedagogo profesores mas querid; j : 75. Sim : 0.39962566; No similar. 
 rt aspromer unisabana saludo liza pinzon directora programa mercadeo congreso mercadeo logistica as; j : 76. Sim : 0.21752536; No similar. 
 rt comsabana colombia alta cocina provoca hastio genera ninguna emocion igmedna ahora eicea unisaba; j : 77. Sim : 0.39113793; No similar. 
 andes subio 33 posiciones rank merco 100 mejores empresas colombia ocupa puesto 16 labelurl  ; j : 78. Sim : 0.24397641; No similar. 
 rt ccoceano calm juan manuel soltau secretario ejecutivo ccoceano habla apropiacion territorio colo; j : 79. Sim : 0.03279274; No similar. 
 cada ano 8 millones toneladas desecho van mar vivimos mundo lleno basura karla barrientos labelurl ; j : 80. Sim : 0.19903876; No similar. 
 rt bienestarsabana puedes perder concierto musica sacra dia hoy auditorio 1 ed k 4 pm solo unisa  ; j : 81. Sim : 0.49179286; No similar. 
 rt deportessabana sabana plata bronce voleibol playa ascun bogota 2016 unisabana comsabana eicea bi; j : 82. Sim : 0.37675405; No similar. 
 rt endirectosabana leaendirecto97 sabia usted ahora puede certificar dominio idioma espanol edicion; j : 83. Sim : 0.25880083; No similar. 
 hoy santa misa motivo memoria liturgica san josemaria escriva balaguer hora 1220 p m oratorio label; j : 84. Sim : 0.34205717; No similar. 
 rt hernanolano mas 500 estudiantes unisabana van movilidad internacional cada semestre lasabanaabro; j : 85. Sim : 0.4338459; No similar. 
 rt jrestrp hoy hace 363 anos historia urosarionews reitera mas fuerza compromiso aportarle nacionla; j : 86. Sim : 0.2603298; No similar. 
 hace 50 anos hernando groot nombrado miembro comite mundial expertos enfermedades causadas virus la; j : 87. Sim : 0.20593534; No similar. 
 pasan anos ninos crecen van pasa vida juan miramos jaime jaramillo comparte fragment labelurl  ; j : 88. Sim : 0.3058127; No similar. 
