Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video unimedios orgulloun hoy 
 paz podra traer beneficios supone inversiones importantes permitan cobrar dividendos jrestrp benefi; j : 71. Sim : 0.1439385; No similar. 
 terminar gran dia informacion ver leer escuchar boletinun labelurl feliz noche comunidadun  ; j : 72. Sim : 0.55516356; Baja. 
 noche dejamos consejos expresatebien comunicate mejor campanaun labelurl feliz noche feliz viernes ; j : 73. Sim : 0.53480196; Baja. 
 comunidadun encuentra informacion ver leer escuchar aqui labelurl boletinun unimedios 985unradio un; j : 74. Sim : 0.46201771; No similar. 
 terminamos gran dia coninformacion unparatodos ver leer escuchar labelurl 985unradio unimedios unte; j : 75. Sim : 0.42468706; No similar. 
 terminemos dia informacion unparatodos ver leer escuchar labelurl boletinun unimedios feliz noche  ; j : 76. Sim : 0.5798425; Baja. 
 comunidadun programate actividades eventos uncolombia ano descargando app circularun feliz noche  ; j : 77. Sim : 0.5699784; Baja. 
 buenos dias comunidadun comenzamos dia informacion ver leer escuchar labelurl boletinun unimedios  ; j : 78. Sim : 0.5623326; Baja. 
 ingresa circularun programate asistir actividades eventos unparatodos feliz fin semana comunidadun ; j : 79. Sim : 0.48351482; No similar. 
 buenos dias comenzamos dia compartiendo ustedes canal oficial youtube suscribete labelurl somosun  ; j : 80. Sim : 0.42631835; No similar. 
 informacion unparatodos puedes ver leer escuchar boletinun labelurl untelevision 985unradio unimedi; j : 81. Sim : 0.32008994; No similar. 
 comunidadun descubre nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untele; j : 82. Sim : 0.38882878; No similar. 
 buenos dias comunidadun felizlunes deseamos mejor dias excelente semana vacaciones somosun  ; j : 83. Sim : 0.61332035; Baja. 
 terminamos dia invitandolos conocer ultima edicion unperiodico leelo aqui labelurl feliz noche  ; j : 84. Sim : 0.5986351; Baja. 
 terminar lunes musica unradio nueva aplicacion disponible ios android feliz noche labelurl  ; j : 85. Sim : 0.56792283; Baja. 
 felizviernes mes llega noticias diariamente hacen sentir orgulloun feliz dia comunidadun labelurl  ; j : 86. Sim : 0.70932424; Media. 
 feliz lunes comunidadun comencemos dia descargando nueva edicion unperiodico labelurl unimedios unp; j : 87. Sim : 0.72240174; Media. 
 encuentra mas informacion uncolombia aqui labelurl ver leer escuchar unimedios untelevision 985unra; j : 88. Sim : 0.51434827; Baja. 
 feliz martes comunidadun comencemos dia descargando nueva edicion unperiodico labelurl unimedios un; j : 89. Sim : 0.72307533; Media. 
 terminar dia recordemos tener cuenta consejos expresatebien comunicate mejor labelurl feliz noche  ; j : 90. Sim : 0.5240395; Baja. 
 comunidadun encuentra nueva edicion boletinun informacion debes ver leer escuchar labelurl unimedio; j : 91. Sim : 0.4760317; No similar. 
 rt seceducacionant guatape ceja cisneros puerto triunfo santo domingo donmatias formacion escuelas ; j : 92. Sim : 0.36213392; No similar. 
 rt urosarioradio cuantos libros lees ano colombia paises indices mas bajos lectura enterate  ; j : 93. Sim : 0.39333218; No similar. 
 comunidadun aproxima semana camilo torres restrepo encuentra aqui programacion asiste labelurl vriu; j : 94. Sim : 0.5614195; Baja. 
 comunidadun informacion cada semana ver leer escuchar encuentras aqui boletinun labelurl unimedios ; j : 95. Sim : 0.522018; Baja. 
 comunidadun terminemos lunes mejor actitud tener gran semana fin ano feliznoche labelurl  ; j : 96. Sim : 0.6022022; Baja. 
 terminar dia invitamos conocer prototipo impresora braille unmedellin video labelurl feliz noche  ; j : 97. Sim : 0.41364104; No similar. 
 felizjueves comunidadun hoy nueva edicion boletinun labelurl ver leer escuchar unimedios uncolombia; j : 98. Sim : 0.5643458; Baja. 
 terminar dia conoce mas universidad videos uncolombia suscribete canal oficial youtube labelurl  ; j : 99. Sim : 0.5366275; Baja. 
 buenos dias comunidadun deseamos gran jueves hoy dia sentir orgulloun labelurl somosun  ; j : 100. Sim : 0.7328827; Media. 
 feliznoche unparatodos esperamos sido gran comienzo semana linda noche velitas somosun  ; j : 101. Sim : 0.48169065; No similar. 
 dfdelriot hola aqui puedes encontrar videos demas sedes labelurl cuales estan pu labelurl  ; j : 102. Sim : 0.39188823; No similar. 
 comunidadun despues gran fin semana deseamos mejor tener gran dia felizmartes labelurl  ; j : 103. Sim : 0.5633992; Baja. 
 feliz noche comunidadun deseamos feliz noche esperamos esten disfrutando vacaciones labelurl somosu; j : 104. Sim : 0.52058834; Baja. 
 marianabotero13 buenos dias actividades academicas administrativas estan funcionando normalidad gra; j : 105. Sim : 0.38073406; No similar. 
 comunidadun hoy gran dia ver nuevo consejos campanaun expresatebien comunicate mejor labelurl  ; j : 106. Sim : 0.5547597; Baja. 
 hoy gran dia hoy dia afrocolombianidad celebramos toda comunidadun feliz dia labelurl  ; j : 107. Sim : 0.6677368; Baja. 
 felizmiercoles comunidadun bienvenidos nuevo dia mejor deseamos gran dia unparatodos somosun  ; j : 108. Sim : 0.55051476; Baja. 
 paulaclondono hola caso dudas puedes comunicarte serviciostecnologicosurosarioeduco 2970200 ext 333; j : 109. Sim : 0.33811045; No similar. 
 feliz noche comunidadun fin semana recuerda poner practica ecotips ahorraun casa labelurl  ; j : 110. Sim : 0.63722324; Baja. 
 semana tambien puedes visitar filbo2016 librosun hechos conciencia stand 102 pabellon 3 labelurl  ; j : 111. Sim : 0.42352045; No similar. 
 nuevos 45 libros libros fondo editorial eafit resaltan produccion academica comunidad eafitense lab; j : 112. Sim : 0.12179414; No similar. 
 dejen escribir siempre seran necesarios cuentos relatos patricia engel pbnc haymedellin17  ; j : 113. Sim : 0.2538533; No similar. 
 terminemos dia conociendo mas software interactivo museo samoga unmanizales labelurl feliz noche  ; j : 114. Sim : 0.50784457; Baja. 
 comunidadun deseamos mejor noche jueves manana regresaremos mas unparatodos feliz noche labelurl  ; j : 115. Sim : 0.66838634; Baja. 
 comunidadun conoce nueva coleccion tiendaun stand 103 uncolombia feria libro pabellon labelurl  ; j : 116. Sim : 0.28822404; No similar. 
 programateun visitas guiadas puedes hacer casa museo gaitan labelurl circularun casagaitan divcultu; j : 117. Sim : 0.17425886; No similar. 
 comunidadun fin semana visita filbo2017 conoce stand uncolombia antojate nuevos pr labelurl  ; j : 118. Sim : 0.51216334; Baja. 
 buenos dias comunidadun bienvenidos nueva semana campus universidad uncolombia somosun felizlunes  ; j : 119. Sim : 0.5847969; Baja. 
 revistasemana dialogo patricia engel finalista iii premio biblioteca narrativa colombiana pbnc labe; j : 120. Sim : 0.12573971; No similar. 
 edicion 112 eleafitense conozcan primera mujer logra premio biblioteca narrativa colombian labelurl; j : 121. Sim : 0.13055238; No similar. 
 rt grupoargos tourtuitero daniel duque gerente iamp d recorreremos centroargosinnovacion descubrir ; j : 122. Sim : 0.16469069; No similar. 
 felizmiercoles comenzar dia gracias toda comunidadun hacer parte rede sociales unparatodos  ; j : 123. Sim : 0.40226224; No similar. 
 comunidadun despues gran fin semana esperamos felizmartes sigue acompanandonos informacion unparato; j : 124. Sim : 0.6005762; Baja. 
 comunidadun terminamos lunes deseandoles mejor ultima semana ano 2016 felices vacaciones p labelurl; j : 125. Sim : 0.59956384; Baja. 
 terminar dia invitamos conocer mas nueva agenda cultural manizales unmanizales labelurl culturaun  ; j : 126. Sim : 0.43472245; No similar. 
 programateun visita filbo2017 fin semana conoce nuevos productos tiendaun feliz sabado p labelurl  ; j : 127. Sim : 0.4839164; No similar. 
 comunidadun recuerda puedes personalizar rede sociales decir somosorgulloun comparte cuentanos porq; j : 128. Sim : 0.278043; No similar. 
 angustia vivimos provincia trasladamos ustedes dejen solo padre antun ramos lapazesposible  ; j : 129. Sim : 0.24634527; No similar. 
 feliz comienzo semana comunidadun esperamos gran dia mejor semana campus universidad  ; j : 130. Sim : 0.6347159; Baja. 
 rt obsdemocracia datos barometroamericas muestran vicimizacion genero proyectotumaco visibiliza muj; j : 131. Sim : 0.2287367; No similar. 
 comunidadun tal lunes fin semestre esperamos sido gran dia feliznoche unparatodos labelurl  ; j : 132. Sim : 0.5525984; Baja. 
 rt cerosetenta carmen maura actriz espanola famosa participaciones cintas almodovar paso 070 labelu; j : 133. Sim : 0.18826498; No similar. 
 ten cuenta desconectar cargador celular portatil vez termines cargarlos ahorraun conecta labelurl  ; j : 134. Sim : 0.32567734; No similar. 
 conoce 96 libros electronicos descargar gratis biblioteca labelurl via universiacol feliz noche  ; j : 135. Sim : 0.43709806; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun  ; j : 136. Sim : 0.39906067; No similar. 
 feliz noche comunidadun esperamos sido gran inicio semana universidad unparatodos somosun  ; j : 137. Sim : 0.60290194; Baja. 
 feliz jueves comunidadun gracias ser parte inspiracion diaria deseamos gran dia labelurl  ; j : 138. Sim : 0.59460384; Baja. 
 buenviernes comenzar dia queremos decir gracias acompanarnos 2016 ser parte comunidadun  ; j : 139. Sim : 0.41590607; No similar. 
 comunidadun inscribete curso hplc gc actualizate area control medicamentos info labelurl fcienciasu; j : 140. Sim : 0.3132552; No similar. 
 conoce mas cantaora guapi cauca video pacifico sur faustina orobio labelurl untelevision  ; j : 141. Sim : 0.40782735; No similar. 
 sede mayorca eafitidiomas estrena nuevo programa chino mandarin adultos conozcan mas labelurl  ; j : 142. Sim : 0.25739694; No similar. 
 proceso abierto sabemos mayoria grupos decide disolverse obtener resultados individualmente tp  ; j : 143. Sim : 0.23441084; No similar. 
 iii premio biblioteca narrativa colombiana mayoria obra vida patricia engel pbnc labelurl  ; j : 144. Sim : 0.1962978; No similar. 
 buscando opciones almorzar visite semana fopre cafe yoapoyoalfopre conozca menu restaurantes labelu; j : 145. Sim : 0.3118035; No similar. 
 comunidadun recuerda puedes enviarnos preguntas utilizando ht launcuenta balance social 2015 labelu; j : 146. Sim : 0.28972128; No similar. 
 preguntaron carl langebaek vicerrector academico cambios traera nueva reforma academica carlrespond; j : 147. Sim : 0.15390953; No similar. 
 noticiaun mantillaignacio pide sede bogota firme paz definitiva farc labelurl via radiosantafentc  ; j : 148. Sim : 0.42854536; No similar. 
 reconciliacion significa podamos hacer compromiso dirimir diferencias manera constructiva frankpear; j : 149. Sim : 0.15546817; No similar. 
 rt orinoquiaceo proposito gira productores maranon entidades apoyo puerto carreno vichada embrapa l; j : 150. Sim : 0.16838911; No similar. 
 dato segun instituto cervantes espanol hablado 567 millones personas mundo losperiodistasenunisaban; j : 151. Sim : 0.2836408; No similar. 
 imagen puede verse altura final puente actualidad altura temporal mas baja const labelurl  ; j : 152. Sim : 0.38797954; No similar. 
 programateun esperamos bogota 21 oct viene despues habitat iii habitat3followup inscribete labelurl; j : 153. Sim : 0.30799913; No similar. 
 feliznoche comunidadun esperamos sido gran dia manana regresaremos mas universidad unparatodos  ; j : 154. Sim : 0.54131234; Baja. 
 gustaria aprender competir siglo xxi buena gerenciamanana conferencia ernst pfeifer fr labelurl  ; j : 155. Sim : 0.18580772; No similar. 
 rt urosarioradio si pudiste asistir simposioemocionesconflictour relax aca podcast prensaurosario i; j : 156. Sim : 0.30356598; No similar. 
 hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 157. Sim : 0.22357324; No similar. 
 elblackparade buenos dias imagen encuentra progrmacion cine club semestre feliz dia labelurl  ; j : 158. Sim : 0.5571847; Baja. 
 126 participantes tres escritores finalistas iii premio biblioteca narrativa colombiana pbnc labelu; j : 159. Sim : -0.056876082; No similar. 
 estrategias mejoran profundizan aprendizaje motiva mas exito linda b nilson diadelprofesor urosario; j : 160. Sim : 0.23021647; No similar. 
 feliz noche comunidadun esperamos sido gran dia manana esperamos mas unparatodos labelurl  ; j : 161. Sim : 0.6367369; Baja. 
 hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 162. Sim : 0.22395474; No similar. 
 feliz noche comunidadun esperamos sido gran dia manana esperamos mas unparatodos labelurl  ; j : 163. Sim : 0.6367369; Baja. 
 feliz noche comunidadun esperamos gran miercoles ahora vamos descansar somosun unparatodos  ; j : 164. Sim : 0.61800665; Baja. 
 felizviernes comunidadun deseamos gran excelente dia mejores deseos hoy vacaciones unparatodos  ; j : 165. Sim : 0.6002867; Baja. 
 ser mujer indigena lucha diaria victimas racismo estereotipos natasha kanape haymedellin17  ; j : 166. Sim : 0.15390247; No similar. 
