Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz unisabana manana partir entrada 
 libro muestra resultado 60 anos trabajo conjunto 850 cientificos colombianos franceses conozcal lab; j : 66. Sim : 0.29092637; No similar. 
 fedfernandez problemas tecnicos aire acondicionado apagado bloques informamos area encargada abrir ; j : 67. Sim : 0.22991422; No similar. 
 premios gemis reconocen mejores proyectos finales ingenieria sistemas vea gala hoy 500pm labelurl  ; j : 68. Sim : 0.31784874; No similar. 
 rt hablemosdepazur financiacion partido politico farc seria mayor partidos pda alianza verde podri ; j : 69. Sim : 0.31074673; No similar. 
 sabes iniciativas ciudadanas creado hablar acuerdo hoy 300 pm lapazenfoco institucionaltv untelevis; j : 70. Sim : 0.33359; No similar. 
 incremento consumo heroina sera tema decisivo politicas anti drogas franciscocumsi1 cicadoea foroun; j : 71. Sim : 0.26235875; No similar. 
 rt onumujerescol alianza urosarionews potenciara visibilidad temas comun inter participacion mujere; j : 72. Sim : 0.44049558; No similar. 
 esperamos manana encuentro cafe ciudad sos aire amenaza continua partir 400 pm labelurl  ; j : 73. Sim : 0.5781333; Baja. 
 informamos dia manana realizara funcion titirifestival debido eafit sera punto votacion domingo  ; j : 74. Sim : 0.5209126; Baja. 
 descubre talento llego hora pintar viii maraton pintura rapida bienestarsabana inscripciones abier ; j : 75. Sim : 0.23727086; No similar. 
 areametropol minutos traves facebooklive rueda prensa firma contrato eafit fortalecer trabajo cient; j : 76. Sim : 0.38612536; No similar. 
 inicia lapazenfoco programa pedagogico apuesta construccion paz hoy paz querida untelevision instit; j : 77. Sim : 0.49986437; No similar. 
 evidencia cientifica frente problema drogas genera tiempo requiere recursos franciscocumsi1 cicadoe; j : 78. Sim : 0.108715855; No similar. 
 hoyeneafit disfruten secuenciacion nanopore bloque 38 auditorio 110 500 pm ver mas labelurl  ; j : 79. Sim : 0.399704; No similar. 
 reglas juego rama judicial operan jep rafael nieto loaiza ex vicemin justicia labelurl  ; j : 80. Sim : 0.17044772; No similar. 
 charla icea estrategias market millennials marzo 28 200 pm 400 pm auditorio k 1 labelurl  ; j : 81. Sim : 0.4485845; No similar. 
 hoy celebraremos 15 anos programa tutoria becarios vemos 200 pm detras canchas g labelurl  ; j : 82. Sim : 0.4808107; No similar. 
 josefina agudelo podemos hacer panorama retador portafolios iniciativas idi ser sostenibles colombi; j : 83. Sim : 0.1759801; No similar. 
 rt corresponsables maria teresa audelo kpmg reflexiona participacion mujeres junta directiva forood; j : 84. Sim : 0.36403006; No similar. 
 profesor jeremy waldron new york university school of law nyu estara unisabana labelurl  ; j : 85. Sim : 0.3256305; No similar. 
 rt inguniandes videoque paso bogota prehispanica repleta rios humedales uniandesicya quiere recuper; j : 86. Sim : 0.35191625; No similar. 
 hoyeneafit presenta amor guerra apeninos xiii ciclo literatura 630 pm ver mas labelurl  ; j : 87. Sim : 0.39914563; No similar. 
 presentacion libro dibujar nacion 14 junio libreria fondo cultura economica 600 pm labelurl  ; j : 88. Sim : 0.5645997; Baja. 
 lleva cultura colombiana peru ayuda demas promocion rural peru inform inscripciones daniellagu labe; j : 89. Sim : 0.48674253; No similar. 
 colombomedellin hoy primer dia programa liderazgo kyb eafit 6 jovenes nashville aprenden empoderami; j : 90. Sim : 0.479254; No similar. 
 rt cancilleriaur entorno social politico economico china charla market estrategia comercial china u; j : 91. Sim : 0.27913544; No similar. 
 rt hablemosdepazur farc pueden llegar 350mil votos necesarios obtener curul senado todavia sabemos ; j : 92. Sim : 0.31484947; No similar. 
 ano 1990 logran reducir tasa muertes paises europeos expone mauricio garcia eafit labelurl  ; j : 93. Sim : 0.3758066; No similar. 
 manejar riesgos internet hace falta hablar tema frente evidenciar conductas hacen dano labelurl  ; j : 94. Sim : 0.035530925; No similar. 
 rt apgguzman lucia fraca barrera universidad pedagogica experimental libertador ahora seminario per; j : 95. Sim : 0.3675251; No similar. 
 colombia sigue pensando uniones maritales hecho menor categoria inconsciencia social guillermo mont; j : 96. Sim : 0.26724023; No similar. 
 rt sinescosas ecodeksas ciclo agrega valor agendate acompana andres martinez manana 6pm eafit label; j : 97. Sim : 0.40952063; No similar. 
 rt fismed iniciamos segunda jornada fismed eafit studioselim estrategias contenidos audiovisuales a; j : 98. Sim : 0.2977683; No similar. 
 acerca dia internacional danza eafit celebracion sera 28 abril partir 300 pm labelurl  ; j : 99. Sim : 0.5881725; Baja. 
 elca recopila datos impactos pobreza proceso paz 5 regiones colombia mas 290 municipios labelurl  ; j : 100. Sim : 0.34098443; No similar. 
 andres lopera gomez egresado hoy eafit reconoce labor destacada cultura arte deporte labelurl  ; j : 101. Sim : 0.42976257; No similar. 
 cuales retos adultos generar mejores condiciones infancia pais vealo hoy lapazenfoco institucionalt; j : 102. Sim : 0.42955884; No similar. 
 emociona ver sonamos hace 40 anos hoy materializado exito hector ochoa exrector d labelurl  ; j : 103. Sim : 0.38255054; No similar. 
 sachs lider mundial desarrollo sostenible destaco excelencia uniandes liderar nuevo centro pi label; j : 104. Sim : 0.2540092; No similar. 
 rt biblioeafit hoy truequeliterarioeafit haremos enfasis proposito hacer cada dia leamos mas univer; j : 105. Sim : 0.48501614; No similar. 
