Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun estudiantes 2016 hoy anos 
 libro chef gaviria acaba ser galardonado mejor mundo gourmand world cookbook award labelurl  ; j : 67. Sim : 0.058093343; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 68. Sim : 0.23269853; No similar. 
 rt upbcolombia decalogo sosporelaire distancias medianas deben recorrerse vehiculos motorizados pue; j : 69. Sim : 0.27140933; No similar. 
 noticiaun edificio matematicas recibe nombre yu takecuhi homenaje maestro fisico labelurl via unime; j : 70. Sim : 0.41536823; No similar. 
 rt urosarioradio 39 mil millones pesos dpto cordoba sabe estan cgrcolombia edgardo maya labelurl  ; j : 71. Sim : 0.2252153; No similar. 
 rt bienestarsabana hoy equipo rugby partio pereira representar unisabana juegos universitarios naci; j : 72. Sim : 0.44361198; No similar. 
 noticiaun motivos sentir orgulloun mas 50 invenciones tecnologicas ano produce labelurl via unimedi; j : 73. Sim : 0.60788; Baja. 
 rt hernanolano primer nivel foro precedente icesi unisabana derechousabana sofaunisabana trenusaban; j : 74. Sim : 0.21585971; No similar. 
 rt urosarioradio opinionespoderosasur inicia 2da temporada invitado lujo cgrcolombia sr contralor e; j : 75. Sim : 0.18473387; No similar. 
 rt mineducacion nochedelosmejores entrega distincion andres bello reconoce puntajes mas altos prueb; j : 76. Sim : 0.19344443; No similar. 
 rt memoriauniandes ayeryhoy estudiantes profesores convirtieron estatua san alberto magno elementos; j : 77. Sim : 0.25185937; No similar. 
 hablamos mitos leyendas agueros hacen parte folclor estan asociados medio ambiente vallenato  ; j : 78. Sim : 0.14375663; No similar. 
 rt mineducacion nochedelosmejores entrega distincion andres bello reconoce puntajes mas altos prueb; j : 79. Sim : 0.19344443; No similar. 
 uniandesenfilbo2017 visite estand 502 pabellon 3 segundo piso fotos alejandro gomez nino direcc lab; j : 80. Sim : 0.2937587; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 81. Sim : 0.31455514; No similar. 
 medio crisis esperanza queda luz sale gente joven doctor benjamin rodriguez iturbe labelurl  ; j : 82. Sim : 0.22416916; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 83. Sim : 0.31455514; No similar. 
 rt endirectosabana endirecto96 llego edicion 96 directo entramos circulacion cargados buenas histor; j : 84. Sim : 0.2994764; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 85. Sim : 0.31455514; No similar. 
 rt danielpa partimos mocoa compromiso uniandes colombia uniandesicya inguniandes behrentz uniandino; j : 86. Sim : 0.48367238; No similar. 
 tan facil va ser resocializacion menores farc neila diaz psicosabana1 via eltiempo labelurl  ; j : 87. Sim : 0.36858025; No similar. 
 rt sosuniandes today be the last day of conference in isdrs2017 isdrsociety uniandes  ; j : 88. Sim : 0.19128127; No similar. 
 rt fcompartircol gracias aliados ano tras anos premiocompartir hace posible finalistas 2017 http  ; j : 89. Sim : 0.26213738; No similar. 
 chef carlos gaviria profesor gastronomia eicea presenta hoy libro comida colombiana filbo2017 label; j : 90. Sim : 0.31135625; No similar. 
 rt inguniandes casos exitosos implant corazon artificial viii sem ingenieria biomedica bio uniandes; j : 91. Sim : 0.36308426; No similar. 
 rt jeronimorivera manana tendre invitada lujo direcciondeactores unisabana buena amiga gran actriz ; j : 92. Sim : 0.31060535; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 93. Sim : 0.5966087; Baja. 
 escucha donkristobal the warriors concierto ser pilo paga universidad ces 6 octubre 100 p labelurl ; j : 94. Sim : 0.27157193; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 95. Sim : 0.5966087; Baja. 
 tan facil va ser resocializacion menores farc analisis neila diaz via eltiempo labelurl  ; j : 96. Sim : 0.39965755; No similar. 
 rt chechecifuentes almorzando yarumal tierra natal ilustre octavio arismendi qepd ex gobantioquia f; j : 97. Sim : 0.25311223; No similar. 
 uniandes quiere consolidar beca deportiva inscribete carrera 10 5k labelurl mepongolostenis bogota ; j : 98. Sim : 0.3372007; No similar. 
 rt ccykcolombia lasabanaabroad unisabana present the opportunities for collaboration with northern ; j : 99. Sim : 0.25939092; No similar. 
 rt oaduniandes enlamemoria arturo infante villarerreal der rector uniandes periodo 19852005 inventa; j : 100. Sim : 0.2620564; No similar. 
 rt urosarioradio cuantos libros lees ano colombia paises indices mas bajos lectura enterate  ; j : 101. Sim : 0.55351514; Baja. 
 rt oaduniandes enlamemoria bertha eugenia laserna brando secretaria general facultad ingenieria ing; j : 102. Sim : 0.30173725; No similar. 
 constitucion 91 incluyo contexto declara pertenece mundo cabemos habla conflicto clara atehortua  ; j : 103. Sim : 0.059409883; No similar. 
 gastronomia chef carlos gaviria profesor eicea presenta obra tecnicas profesionales cocina colombia; j : 104. Sim : 0.27350038; No similar. 
 kathryn clifton recomienda usar google adwords identificar palabras clave hagan atractivos titulos ; j : 105. Sim : 0.08547615; No similar. 
 rt comsabana gran lucha redaccion elespectador pensar multimedia sola vez fidelcanoco habla 2period; j : 106. Sim : 0.33111775; No similar. 
 ies lider pais alcanzando posicion 254 nivel mundial rank qs somosorgulloun topunis labelurl  ; j : 107. Sim : 0.36345032; No similar. 
 23 25 noviembre estan invitados conferencia mes2016 acceso universal energia america latin labelurl; j : 108. Sim : 0.36661398; No similar. 
 despues 10 anos marisa martins regresa cautivar publico lirica voz junto sinfonicaeafit labelurl  ; j : 109. Sim : 0.36133423; No similar. 
 rt memoriauniandes ayeryhoy nuevo bloque c edificio facultad arquituniandes throwbackthursday logro; j : 110. Sim : 0.4093638; No similar. 
 hoy 57anoseafit tambien homenajeamos empleados docentes administrativos cumplen 10 15 20 25 labelur; j : 111. Sim : 0.34498453; No similar. 
 23 25 noviembre estan invitados conferencia mes2016 acceso universal energia america latin labelurl; j : 112. Sim : 0.36661398; No similar. 
 hoy celebramos dia bacteriologo conmemoracion natalicio doctor federico lleras acosta gracias to la; j : 113. Sim : 0.46019503; No similar. 
 rt inguniandes manana 21 abril tres grandes conferencias nuevas tecnologias semanasistemasieee 2016; j : 114. Sim : 0.52632016; Baja. 
 rt apgguzman 100 kg asientos ergonomicos alta resistencia mibicipostobon entregan 90 estudiantes un; j : 115. Sim : 0.19758365; No similar. 
 rt oaduniandes ayeryhoy vista bloque g edificio roberto franco honor primer rector uniandes throwba; j : 116. Sim : 0.2753891; No similar. 
 rt oaduniandes enlamemoria maestro sergio acevedo gomez integrante coro uniandes anos 60 culturauni; j : 117. Sim : 0.39677694; No similar. 
 rt usembassybogota carolina serrano unisabana presenta buenas practicas beca 100kstrongamericas niu; j : 118. Sim : 0.40536365; No similar. 
 rt eicea felices paris aprendiendo ieseg school of management cursodeverano international fashion b; j : 119. Sim : 0.20289737; No similar. 
 rt vmanriquezul solo guajira crisis alimentaria afirma contralor general foro universidad rosario u; j : 120. Sim : 0.21000898; No similar. 
