Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente economicos ecopetrol indicadores palmaedwin 
 polodemocratico polodemocratico saluda firma nueva convencion colectiva trabajo usofrenteobreroecop; j : 119. Sim : 0.1633074; No similar. 
 frankyzayas usofrenteobrero ecopetrolsa union sindical obrera uso presente presente fuerzas camarad; j : 120. Sim : 0.43793815; No similar. 
 castillasenador caluroso saludo usofrenteobrero 95 anos lucha resistencia movilizacion defensa hidr; j : 121. Sim : 0.49920276; No similar. 
 gustavotrianasu polodemocratico saluda firma nueva convencion colectiva trabajo usofrenteobreroecop; j : 122. Sim : 0.16926189; No similar. 
 bcavirtual bcavirtual uso protesta ecopetrol distorsion hace pliego peticiones palmaedwin usofrente; j : 123. Sim : 0.27102757; No similar. 
 usofrenteobrero usofrenteobrero rechaza sistematica persecucion sindical viene siendo objeto compan; j : 124. Sim : 0.480122; No similar. 
 usofrenteobrero rechaza despido companero dirigente sindical uso cartagena joaquin padilla ejec lab; j : 125. Sim : 0.5062318; Baja. 
 bsintraaval apoya acdac1 perenne lucha paso atras companers justicia social paz labelurl  ; j : 126. Sim : 0.34172544; No similar. 
 palmaedwin usofrenteobrero logra primer acuerdo formalizacion 152 trabajadores tercerizados terpelc; j : 127. Sim : 0.37761006; No similar. 
 union sindical obrera subdirectiva arauca emprende campana permita garantizar oportunidades laboral; j : 128. Sim : 0.4176872; No similar. 
 migueramos accion urgente violaciones ddhh corregimiento guayabo municipio puerto wilchesnnvia geam; j : 129. Sim : 0.35443172; No similar. 
 bsintraaval apoya acdac1 perenne lucha paso atras companers justicia social paz labelurl  ; j : 130. Sim : 0.34172544; No similar. 
 portellatelesur hora union sindical obrera manifiesta falta garantias laborales contratistas usofre; j : 131. Sim : 0.46773174; No similar. 
 trabajodecente entrevista ail nesto dice presidente usofrenteobrero cesar loza derrame crudo  ; j : 132. Sim : 0.38164362; No similar. 
 enscolombia entrevista ail nesto dice presidente usofrenteobrero cesar loza derrame crudo  ; j : 133. Sim : 0.3185991; No similar. 
 kikem63 ecopetrolsa usofrenteobrero entonces sientense negociar senores administracion ecp cumplan ; j : 134. Sim : 0.6187537; Baja. 
 hoy atendemos ilegal arbitrario llamamiento descargos hace ecopetrolsa companero edwin castano labe; j : 135. Sim : 0.40325603; No similar. 
 jorgeajurado personero municipal barrancabermeja deberia apegarse verdad descripciones haga cese im; j : 136. Sim : 0.25487593; No similar. 
 echeverry dueno econcept washington buscan inversionistas sector minero energetico sirve lobb label; j : 137. Sim : 0.53794193; Baja. 
 usofrenteobrero seguimos debate enfoque politico negociacion colectiva buscando part mejor propuest; j : 138. Sim : 0.3537997; No similar. 
 vamos defender ecopetrolsa vamos defender patrimonio publico vamos defender pliego peticione labelu; j : 139. Sim : 0.33567578; No similar. 
 usofrenteobrero hecho gran movimiento aspiraciones buscar acuerdos ojala ecopetrolsa buena voluntad; j : 140. Sim : 0.26794547; No similar. 
 franciscoporbta 96 anos lucha defensa patrimonio publico felicitaciones usofrenteobrero ncuentan ob; j : 141. Sim : 0.50820595; Baja. 
 jlcdp usofrenteobrero trabajadores dan comer empresa empresa trabajadores produce inoculado ideolog; j : 142. Sim : 0.26674607; No similar. 
 pilarperalta pleno proceso negociacion ecopetrolsa toma represalias dirigentes usofrenteobrero impi; j : 143. Sim : 0.39354438; No similar. 
 palmaedwin campana mediatica acdac1 empezo dijeron iban huelga campana mediatica usofrenteobrer  ; j : 144. Sim : 0.36521715; No similar. 
 mlorozco78 jorgeajurado usofrenteobrero cutcolombia mintrabajocol adelante companeros n dcho consti; j : 145. Sim : 0.4872087; No similar. 
 gabocolombia76 abandono estatal vida digna barrancabermeja territorios crece protesta prensarural u; j : 146. Sim : 0.26803666; No similar. 
 madrugada dia ayer firmamos empresa massy energy convencion colectiva trabajo esp labelurl  ; j : 147. Sim : 0.4727823; No similar. 
 organizacion sindical uso denuncia nefasta politica administrativa viene desarrollando gerencia gen; j : 148. Sim : 0.38669717; No similar. 
