Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores hoy colombia economicos indicadores uso bancorepublica datos presidente tarde 
 palmaedwin juez constitucional ordena navierafluvial negociar pliego peticiones presento usofrenteo; j : 63. Sim : 0.27492917; No similar. 
 angela merkel logro formar coalicion gobierno alemanianel bloque conservador cdu canciller alemana ; j : 64. Sim : 0.37121782; No similar. 
 bcavirtual bcavirtual defensa ecopetrol patrimonio publico sera base pliego dice uso palmaedwin uso; j : 65. Sim : 0.2999388; No similar. 
 ecopetrolsa debe decirle verdad pais si ahorrar costos abandono mal pozos si tragedi labelurl  ; j : 66. Sim : 0.36669245; No similar. 
 valdedrama casi inicia temporada sodacirque7d by cirque du soleil mejores show experienciasaval mag; j : 67. Sim : -0.006599662; No similar. 
 fabioariascut declarada desierta subasta energia eolica solar minminas gobierno debe usar extraordi; j : 68. Sim : 0.2486969; No similar. 
 solidaridad acdac1 hace 14 anos vivimos mismo episodio oitnoticias despues dio razon re labelurl  ; j : 69. Sim : 0.42622635; No similar. 
 soyandrejo hoy porveniroficial presento equipo deportistas despues cumplir 20 anos aniversario impu; j : 70. Sim : 0.39450818; No similar. 
 mashirafael felicitaciones andres manuel lopez obrador nuevo presidente mexico lindo querido victor; j : 71. Sim : 0.33482102; No similar. 
 usocasabe hoy reunion junta subdirectiva casabe revisando distintos temas trabajadores ajustando pl; j : 72. Sim : 0.4245856; No similar. 
 hoy celebramos vida seres dia dia dan mejor si cuidar darle mejor fami labelurl  ; j : 73. Sim : 0.33636558; No similar. 
 acdac1 atendiendo llamado defensor pueblo luego 51 dias pilotos acdac anuncian fin huelga labelurl ; j : 74. Sim : 0.25437757; No similar. 
 palmaedwin razones esgrimio usofrenteobrero trabajadores petroleros hace 41 anos ir huelga mismas q; j : 75. Sim : 0.4044245; No similar. 
 andrespardoa hoy tampoco pinta bien peso colombiano cnbcworld emerge market currencies take batter ; j : 76. Sim : 0.17349564; No similar. 
 andrespardoa paz colombia veran beneficios economicos nota cnnee opiniones jrestrepo mias xavierser; j : 77. Sim : 0.6000001; Baja. 
 mloreguti desarrollo mercado capitales romperia barrera ser pais ingreso medio motor emprendimiento; j : 78. Sim : 0.38178122; No similar. 
