Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos concierto 
 escucha donkristobal the warriors concierto ser pilo paga universidad ces 6 octubre 100 p labelurl ; j : 170. Sim : 0.33207372; No similar. 
 rt facisouniandes comienza diapaiz desafios eticos politicos metodologicos trabajo psicosocial acom; j : 171. Sim : 0.50656015; Baja. 
 constitucion 91 incluyo contexto declara pertenece mundo cabemos habla conflicto clara atehortua  ; j : 172. Sim : 0.028830845; No similar. 
 rt maesaludydiscap viernes plazo hacer parte programa unisabana si aun dudas escribenos ht  ; j : 173. Sim : 0.40069416; No similar. 
 rt inguniandes conoce ingeniero industrial detras multinacional 3m enrique turk egresado destacado ; j : 174. Sim : 0.07311437; No similar. 
 hoy segundo dia cibecom fpradori presenta momento informe country rep track reputacion labelurl  ; j : 175. Sim : 0.38477886; No similar. 
 rt comsabana quieres formar parte univ2017 roma invitamos obtener mas informacion univcongress unis; j : 176. Sim : 0.40186372; No similar. 
 rt bibliotecaur despierta creatividad expoinvisble conoce diccionario dudas ilustrado sala general ; j : 177. Sim : 0.06441958; No similar. 
 sebastiandiazlo si desea puede enviarnos consulta correo mgomezr2eafiteduco enviarla directamente a; j : 178. Sim : 0.24775659; No similar. 
 rt oaduniandes ayeryhoy prado san alberto magno importante punto encuentro uniandes throwbackthursd; j : 179. Sim : 0.33030823; No similar. 
 rt consejoech asi vive urfestival2016 ritmo 33 urosarionews urosarioradio csuperioreur jrestrp dmuu; j : 180. Sim : 0.2522176; No similar. 
 deportista laura sofia agudelo logro medalla oro distrital mayores bogota conoce mas labelurl  ; j : 181. Sim : 0.24715546; No similar. 
 rt chechecifuentes almorzando yarumal tierra natal ilustre octavio arismendi qepd ex gobantioquia f; j : 182. Sim : 0.26125908; No similar. 
 obdulio habla revistasemana serpilopaga mas palo programa ser pilo paga labelurl educacion colombia; j : 183. Sim : 0.3245879; No similar. 
 joseconde96 si desea puede enviarnos datos contacto traves mensaje directo hacer seguimiento labelu; j : 184. Sim : 0.14223957; No similar. 
 rt biblioeafit hoy truequeliterarioeafit haremos enfasis proposito hacer cada dia leamos mas univer; j : 185. Sim : 0.38642478; No similar. 
 rt inguniandes manana 21 abril tres grandes conferencias nuevas tecnologias semanasistemasieee 2016; j : 186. Sim : 0.5384987; Baja. 
 rt aspromer gran congreso mercadeo logistica unisabana felicitaciones 10 anos amli aspromer celebra; j : 187. Sim : 0.5196711; Baja. 
 rt hectorabadf volver biblioeafit eafit sentirse acompanado libros estudiantes arboles orquideas es; j : 188. Sim : 0.36691177; No similar. 
 conflicto armado colombia dejado 25 millones ninos victimas estudio unisabana via elpaiscali labelu; j : 189. Sim : 0.50135726; Baja. 
 alejandra solarte universidad cauca obtuvo segundo lugar pedro juan vallejo pelaez eafit labelurl  ; j : 190. Sim : 0.26515746; No similar. 
 colombomedellin hoy primer dia programa liderazgo kyb eafit 6 jovenes nashville aprenden empoderami; j : 191. Sim : 0.40503678; No similar. 
