Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz 
 sachs lider mundial desarrollo sostenible destaco excelencia uniandes liderar nuevo centro pi label; j : 104. Sim : 0.2953775; No similar. 
 rt biblioeafit hoy truequeliterarioeafit haremos enfasis proposito hacer cada dia leamos mas univer; j : 105. Sim : 0.46409443; No similar. 
 medida ayudaria evitar 700 muertes ano diabetes enfermedades cardiovasculares cancer agaviriau mins; j : 106. Sim : 0.100973986; No similar. 
 rol juntas accion comunalen colombia hoy lapazenfoco 300 pm institucionaltv piensapazunal uncolombi; j : 107. Sim : 0.5480389; Baja. 
 rt biblioeafit hoy pierdan club lectores comic eafit entrada libre previa inscripcion labelurl ht  ; j : 108. Sim : 0.33998233; No similar. 
 hoy 730 pm primer encuentro interuniversitario coros orquestas auditorioleondegreiff entrada libre ; j : 109. Sim : 0.40725544; No similar. 
 hoyeneafit pierdan aula fabricato partir 1200 pm catedra asia peninsula coreana  ; j : 110. Sim : 0.49404126; No similar. 
 rt camaraoriente eventoscamara instituciones territorio apoyar proyectos aporten dllo sostenible dr; j : 111. Sim : 0.4369692; No similar. 
 hoyeneafit esperamos tercer conversatorio mesita noche partir 630 pm sala audicion labelurl  ; j : 112. Sim : 0.49356803; No similar. 
 hoyeneafit esperamos conversatorio mesita noche partir 630 pm sala audicion musical labelurl  ; j : 113. Sim : 0.4918572; No similar. 
 alturas finales puente vez construido estaran 532m 604 m cumpliendo norma establecida 4  ; j : 114. Sim : 0.24037874; No similar. 
 rt profebarreto wilmergober dptolaguajira laguajirahoy laguajiragob culturadir mineducacion yanethg; j : 115. Sim : 0.28276357; No similar. 
 rt filbogota iniciamos seminario internacional derechos autor marco filbo2017 derechodeautor camlib; j : 116. Sim : 0.2853249; No similar. 
 hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 117. Sim : 0.2963833; No similar. 
 rt filbogota iniciamos seminario internacional derechos autor marco filbo2017 derechodeautor camlib; j : 118. Sim : 0.2853249; No similar. 
 hoy 300 pm auditorioleondegreiff musica colombiana director leonardo marulanda entrada libre labelu; j : 119. Sim : 0.45330045; No similar. 
 hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 120. Sim : 0.2736761; No similar. 
 hernando barragan decano arquitectura diseno nuevo arquitecto diseno jefe arduino orgullouniandes l; j : 121. Sim : 0.32355028; No similar. 
 cantos boga sera eafit 4 agosto auditorio fundadores 730 pm vidacultural cultura labelurl  ; j : 122. Sim : 0.57384473; Baja. 
 areametropol siatamedellin seguira consolidandose instrumento tecnico investigacion gracias contrat; j : 123. Sim : 0.31129906; No similar. 
 hoyeneafit esperamos primer conversatorio mesita noche partir 630 pm sala audicion labelurl  ; j : 124. Sim : 0.4954806; No similar. 
 acerca hora almuerzo ganas variar vea menu mapa restaurantes participan fopr labelurl  ; j : 125. Sim : 0.20134734; No similar. 
 hoyeneafit esperamos segundo conversatorio mesita noche partir 630 pm sala audicion labelurl  ; j : 126. Sim : 0.49137056; No similar. 
 15 junio esperamos partir 500 pm encuentro ciudadano seguridad convivencia ciudada labelurl  ; j : 127. Sim : 0.43670067; No similar. 
 breve lapazenfoco henrymedinau beatrizquinlop laurapachecosil dario fajardo paz querida institucion; j : 128. Sim : 0.42650545; No similar. 
 seminario investigacion fcnm molecular basis of adaptive phenotypes in tropical butterfly labelurl ; j : 129. Sim : 0.17136802; No similar. 
 molecular basis of adaptive phenotypes in tropical butterfly seminario investigacion fcnm labelurl ; j : 130. Sim : 0.17136802; No similar. 
 ciudades educadas pais parece votaron miedo prejuicio contrainformacion diego cancino pnud  ; j : 131. Sim : 0.20672403; No similar. 
 hoyeneafit realizara conversatorio movilidad peatonal 500 pm bloque 19501 entrada libre labelurl  ; j : 132. Sim : 0.3627291; No similar. 
 importancia rol iglesia proceso paz manana lapazenfoco institucionaltv 300 pm piensapazunal  ; j : 133. Sim : 0.57899964; Baja. 
 alimentos sirven especulacion financiera aumento precio alimentos basicos condeno millones hambre  ; j : 134. Sim : 0.3190556; No similar. 
 tres expertos tema ambiental hablan posacuerdo hoy 300 pm lapazenfoco institucionaltv labelurl  ; j : 135. Sim : 0.25963742; No similar. 
 kilele saludos podemos ayudarle si desea puede escribirnos traves mensajes directos  ; j : 136. Sim : 0.17191981; No similar. 
 rt ceasiapacifico primer concurso coreano universidad eafit acompananos tarde kpop officialkoica ce; j : 137. Sim : 0.38821334; No similar. 
 hoy filbo2017 presentacion libro idealista pragmatico jeremy adelman 300 pm estand labelurl  ; j : 138. Sim : 0.49414045; No similar. 
 conoces acuerdos habana manana 300 pm pierdas nuevo capitulo lapazenfoco institucionaltv  ; j : 139. Sim : 0.4143323; No similar. 
 colombiano sabes significa proceso paz pierdas lapazenfoco hoy 300 pm institucionaltv  ; j : 140. Sim : 0.44380888; No similar. 
 rt colciencias nuevo modelo publindex promovemos impacto visibilidad publicaciones ctei estandares ; j : 141. Sim : 0.10829783; No similar. 
 jody williams nobel paz hablara hoy 330 pm lucha minas nobeldepazenlosandes labelurl  ; j : 142. Sim : 0.3419715; No similar. 
 martinezvox santiagocancion leeranaldo saludos duratne dia hoy publicaremos acceso obtener boletas ; j : 143. Sim : 0.31509054; No similar. 
 espera minutos preguntas trivia transformandovidas podras ganar postre myriam camhi participa label; j : 144. Sim : 0.20338424; No similar. 
 rt areametropol firmamos convenio eafit disenar plan seguridad convivencia paz alcance supramunicip; j : 145. Sim : 0.4337362; No similar. 
 espera minutos preguntas trivia transformandovidas podras ganar postre myriam camhi participa label; j : 146. Sim : 0.20338424; No similar. 
 rt laagendadelmar esperamos hoy casa musica parque deseos 500 pm entrada libre labelurl  ; j : 147. Sim : 0.4768398; No similar. 
 rt colciencias seguimos trabajando manera articulada mejorar impacto visibilidad produccion cientif; j : 148. Sim : 0.26477063; No similar. 
 rt ausechea gloria alvarez dividir sociedad odio primer paso manual populista admonurosario labelur; j : 149. Sim : 0.27807593; No similar. 
 tarde musica letras filbo2017 ricardo visbal profesor facultad filosofia ciencias humana labelurl  ; j : 150. Sim : 0.33862948; No similar. 
 excelenciauniandes ser 5ta universidad america latina segun time higher education latamrankings lab; j : 151. Sim : 0.30124563; No similar. 
 ricardojllo puede contactar repres telefono 2619500 ext 9020 correo representanteseafiteduco 22  ; j : 152. Sim : 0.17333198; No similar. 
 reto preparacion pais frente amenazas sismicas debemos generar conocimiento procedimientos ge label; j : 153. Sim : 0.29505974; No similar. 
 inicia lapazenfoco programa pedagogico plural apuesta construccion paz piensapazunal institucionalt; j : 154. Sim : 0.44595617; No similar. 
 eafit invita manana partir 530 pm entrega reconocimiento egresados inspiran esper labelurl  ; j : 155. Sim : 0.38602662; No similar. 
 rt telemedellin viernes llega primer encuentrostelemedellin20anos universidad eafit entrada libre g; j : 156. Sim : 0.3675301; No similar. 
 rt educaunisabana finalizamos conferencia profesor john elliott firmando libro visitantes ilustres ; j : 157. Sim : 0.23519272; No similar. 
 hoyeneafit olviden encuentro cafe ciudad sos aire amenaza continua 400 pm labelurl  ; j : 158. Sim : 0.52263004; Baja. 
 hoyeneafit mahmoud mohieldin estara dialogo juventud bloque 38 101 500 pm labelurl  ; j : 159. Sim : 0.4969952; No similar. 
