;Topico1
"comercio internacional temas mas coinciden clinton trump juan camilo chaparro labelurl campusglobal
";0.93023
"caminando palabra paz 100 anos despues acto fundador diplomacia indigena colombia labelurl
";0.93023
"hoyeneafit auditorio fundadores recibe sam farley antonio arnedo presentacion album home labelurl
";0.93023
"empatia asertividad actitudes testigos bully pueden detener agresiones rede sociales enriqu labelurl
";0.93022
"movilidad finalmente hace ciudad podemos pensarla accion externa juan pablo osp labelurl
";0.93022
"betoryr saludos si semana aplica medida pico placa cobro parqueadero campus
";0.93021
"eafitenses manana entra servicio nueva porteria peatonal parque guayabos avenida vegas labelurl
";0.93021
"cortometraje cuenta historia cecilia quiroga zona rural puente nacional santander disfrutelo labelurl
";0.9302
"hoy mapa objetivo claro docencia queremos hacer enfasis experiencia universitaria juan labelurl
";0.9302
"pierdan proximo martes 25 julio primera proyeccion serieclub cuatro ojos esperamos labelurl
";0.9302
"deuda social salda solamente crecimiento economico debe haber decisiones distributivasclaralopezobre lospresidenciables2018
";0.93019
"hoy aqui decimos mundo ciudad pujante juan luis mejia inicio asamblea labelurl
";0.93019
"hoy present mesa trabajo seguridad construccion paz region sabana centro iniciati labelurl
";0.93019
"rt marioacajas 8 be esperamos foro reforma constitucional separacion poderes usergioarboleda unisabana icesi labelurl
";0.93019
"mas influyente tramposo dana percepcion colaboracion abre consigna deje ser bobo labelurl
";0.93018
"atencion cierre universidad eafit avenida vegas implosion bloque 31 ver mas labelurl
";0.93018
"encuentro propicia dialogo plural construir paz jorge giraldo decano escuela humanidades
";0.93018
"programese 7a version festival teatro andes comparsas danza musica circo campus labelurl
";0.93018
"programese 7a version festival teatro andes comparsas danza musica circo campus labelurl
";0.93018
"hoyeneafit auditorio fundadores recibe grupo danza urbana movimiento danza presentacion caos labelurl
";0.93018
"programese 7a version festival teatro andes comparsas danza musica circo campus labelurl
";0.93018
"gracias estudiantes profesores empleados aportaron construccion nuevo espacio juan luis mejia
";0.93018
"aumentar cupos educacion superior menos 35 mil cupos diversas maneras enriquepenalosa
";0.93017
"rt policiacolombia auditorio fundadores eafit medellin debate codigodeconvivencia vivir paz generalnietor ht
";0.93017
"rt policiacolombia auditorio fundadores eafit medellin debate codigodeconvivencia vivir paz generalnietor ht
";0.93017
"hoyeneafit haymedellin17 participacion harkaitz cano conversacion esteban carlos mejia ver mas labelurl
";0.93017
"rt admonurosario reto colombia promover ambiente confianza poder trabajar economias mikaeldamberg vict
";0.93017
"esperamos manana foro importancia bosques restauracion ecologica 900 be 100 pm labelurl
";0.93016
"ninguna campana presente hoja vida tampoco tenia ningun requisito posesionarme enriquepenalosa
";0.93016
"nunca harry quebert nadie tome decisiones debemos ser propios harry quebert labelurl
";0.93016
"directivos hacemos buen uso correo electronico reflexion ciro gomez profesor inalde labelurl
";0.93016
"juan david escobar coordinador centro pensamiento estrategico eafit analiza desarrollo crisis
";0.93015
"primeros 40 anos vienen seran mas felices juan luis mejia arango labelurl
";0.93015
"rt julianhuertasc primera defensa tesis maestria derechointernacional monismo moderado corte c maestriaderintl uni
";0.93014
"trabajar pagar lavadora descubra historia familia zona rural puente nacional colombi labelurl
";0.93014
"ser mujer indigena lucha diaria victimas racismo estereotipos natasha kanape haymedellin17
";0.93014
"hoyeneafit esperamos conferencias ciclosiete partir 900 be bloque 38101 ver mas labelurl
";0.93014
"seminario educacion motor construccion paz sigalo vivo 26 octubre 800 be labelurl
";0.93014
