Modulo nnlm-es-dim128-with-normalization-2
Topicos : noticiaun via colombia uniandes unisabana unimedios mas comsabana hoy 2016 
 felicitaciones paula andrea roa sanchez geraldine bustos zamora dissertum revistavirtual estudiante; j : 161. Sim : 0.3646146; No similar. 
 hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 162. Sim : 0.013968697; No similar. 
 rt oaduniandes ultimo ayeryhoy ano capilla campito san jose throwbackthursday tbt felizjueves label; j : 163. Sim : 0.34132725; No similar. 
 alturas finales puente vez construido estaran 532m 604 m cumpliendo norma establecida 4  ; j : 164. Sim : 0.18512106; No similar. 
 pregunta parece justificable subirle tarifa tm 10 sitp 17 minimo subio 7  ; j : 165. Sim : 0.16031884; No similar. 
 rt hernanolano recordando viajes pontifexes america elpapacol episcopadocol aleteiaes unisabana cri; j : 166. Sim : 0.38981244; No similar. 
 estudiantes usingenieria construyen carro electrico amigable medio ambiente proximo destino detroit; j : 167. Sim : 0.30945954; No similar. 
 hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 168. Sim : 0.012988018; No similar. 
 hace 10 anos impensables alcances videojuego comunidad global jaime h borja mediosdigitalesur  ; j : 169. Sim : 0.32527643; No similar. 
 rt usembassybogota promesacontinua2017 realizara trabajo humanitario proveera cuidado medico dental; j : 170. Sim : 0.097761855; No similar. 
 rt usembassybogota agregado militar eeuu colombia agradece apoyo estudiantes universidades mision p; j : 171. Sim : 0.3438145; No similar. 
 subsidiando sistema tm sitp mas 700 mil millones pesos ano enriquepenalosa  ; j : 172. Sim : 0.25488245; No similar. 
 noticiaun manizales red bibliotecas amplia inventario nuevas publicaciones unmanizales labelurl via; j : 173. Sim : 0.39413208; No similar. 
 sabor pais filbo2017 mano chef carlos gaviria autor tecnicas profesionales coci labelurl  ; j : 174. Sim : 0.2192532; No similar. 
 rt mineducacion nochedelosmejores 16 estudiantes bogota 14 estudiantes cali 4 floridablanca mejores; j : 175. Sim : 0.37900826; No similar. 
 rt serpilopaga dudas programa serpilopaga mineducacion dispuesto do lineas telefonicas resuelvas ht; j : 176. Sim : 0.30155095; No similar. 
 rt usingenieria hoy detroit estudiantes visitan thehenryford asisten conferencias automatizacion en; j : 177. Sim : 0.26889202; No similar. 
 articulo unperiodico especial san andres tres anos fallo problematico labelurl uncaribe unimedios  ; j : 178. Sim : 0.4361585; No similar. 
 rt culturauniandes alosandesenbici concierto trio jazz triciclo sala ernesto martin hoy 100pm label; j : 179. Sim : 0.17535855; No similar. 
 caso pobreza extrema reduccion ano 2016 paso 143 141 piedad retrepo labelurl  ; j : 180. Sim : 0.4090578; No similar. 
 felices equipo usingenieria supera 10 pruebas tecnicas clasifica pruebas pista colombia labelurl  ; j : 181. Sim : 0.22633587; No similar. 
 rt juanmansantos revoluciondelainfraestructura genera empleo ampliacion accesos norte bogota creara; j : 182. Sim : 0.3489439; No similar. 
 trabajo investigativo geometria algebraica otorga premio jose fernando escobar profesor matematicas; j : 183. Sim : 0.040687036; No similar. 
 paris estudiantes eicea summer program fashion business ieseg school of management labelurl  ; j : 184. Sim : 0.17527422; No similar. 
 trabajo investigativo geometria algebraica otorga premio jose fernando escobar profesor matematicas; j : 185. Sim : 0.040687036; No similar. 
 dia mundial tabaco 2017 cigarrillo adiccion deja cada ano 7 millones muertes labelurl  ; j : 186. Sim : 0.23122334; No similar. 
 rt comsabana alguno comaudiovisual comsocial estrenara hoy trenusabana camino unisabana faltan 2 ho; j : 187. Sim : 0.42807412; No similar. 
 trabajo investigativo geometria algebraica otorga premio jose fernando escobar profesor matematicas; j : 188. Sim : 0.040687036; No similar. 
 rt jrestrp reconocimiento biciparqueaderos urosarionews sello oro secretariamovdc compromiso medio ; j : 189. Sim : 0.039069235; No similar. 
 constitucion 91 vemos hoy gente pudo retomar espacio politico clara atehortua labelurl  ; j : 190. Sim : 0.28472444; No similar. 
 carlos gaviria profesor gastronomia eicea presenta libro tecnicas profesionales cocina colombiana l; j : 191. Sim : 0.20988932; No similar. 
 rt hernanolano hace minuto salimos itinerario trenusabana trensuburbano unisabana derechousabana tu; j : 192. Sim : 0.26912394; No similar. 
 rt unisabanaradio empieza hacer literatura ficcion naufragar intento historia galeon nelson f pad  ; j : 193. Sim : 0.21409991; No similar. 
 rt oaduniandes bloque ayeryhoy hogar hermanas buen pastor hoy cienbiolandes uniandes throwbackthurs; j : 194. Sim : 0.31897762; No similar. 
 si genera empleo vamos ser capaces pais reducir pobreza brucemacmaster andicolombia labelurl  ; j : 195. Sim : 0.15244891; No similar. 
