Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit pm hoy esperamos manana rector hoyeneafit be universidad paz 
 rt gusgomez1701 bien rector velasquez apoya programa becarios unisabana vrnicky hoy inspira libro l; j : 203. Sim : 0.35088712; No similar. 
 proposito codigo generar confianza sociedad queremos ser policia mas humana generalnietor policiapa; j : 204. Sim : 0.4134593; No similar. 
 palabras sobran palabras faltan defensa idioma columna jairo valderrama profesor comsabana labelurl; j : 205. Sim : 0.31357235; No similar. 
 rt mauriciocard colombia certeza paz activo mas importante crecimiento economico lacealames2016 eaf; j : 206. Sim : 0.4693171; No similar. 
 rt conectateu tan importante buen contenido moocs posicionarlos plataformas calidad luz adriana oso; j : 207. Sim : 0.18056221; No similar. 
 yopal san jose guaviare estima recibir 100 jovenes traves nodos regionales peama labelurl  ; j : 208. Sim : 0.35147423; No similar. 
 wenrosal estudiante doctorado biociencias usingenieria harvard stem cell institute ips core facilit; j : 209. Sim : 0.3465703; No similar. 
 cada cinco estrategias prevencion posibilidad medicion juan diego alvarez asesor minsaludcol foroun; j : 210. Sim : 0.33290198; No similar. 
 sabes pasando materia ambiental hoy nuevo capitulo lapazenfoco 300 pm institucionaltv untelevision ; j : 211. Sim : 0.27908432; No similar. 
 breve inicia nuevo capitulo lapazenfoco lideres sociales hablan proceso paz institucionaltv untelev; j : 212. Sim : 0.2899977; No similar. 
