Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit pm hoy esperamos manana rector hoyeneafit be universidad paz auditorio partir juan 
 recuerden conferencia wade davis auditorio fundadores 630 pm entrada libre cupos limitados  ; j : 94. Sim : 0.38830927; No similar. 
 manana esperamos debate paz convivencia seguridad codigo policia ciudad medellin auditorio central ; j : 95. Sim : 0.6146755; Baja. 
 hoyeneafit esperamos segunda sesion catedra flipeafit partir 830 be bloque 38101 entrada labelurl  ; j : 96. Sim : 0.5829644; Baja. 
 viernes sera catedra flip eafit comunicacion politica libertad prensa entrada libre registrarse lab; j : 97. Sim : 0.5487701; Baja. 
 pierdan manana casa museo otraparte presentacion libro sexo saxofon partir 730 pm labelurl  ; j : 98. Sim : 0.44512874; No similar. 
 eafit invita secuenciacion nanopore 31 julio bloque 38110 500 pm 600 pm labelurl  ; j : 99. Sim : 0.320958; No similar. 
 esperamos proximo lunes conferencia medellin espacio publico partir 1000 be bloque 381 labelurl  ; j : 100. Sim : 0.6566112; Baja. 
 recuerden 27 marzo conferencia medellin espacio publico esperamos bloque 38101 1000 be labelurl  ; j : 101. Sim : 0.5537959; Baja. 
 juan luis mejia arango habla eafit agente transformador ciudad encuentro sistemab emprendimien labe; j : 102. Sim : 0.49214917; No similar. 
 tratamiento diferencial distintos eslabones cadena narcotrafico acogida ungass2016 yesid reyes exmi; j : 103. Sim : 0.13718331; No similar. 
 rt coninsaramonh medidas provisionales puente eafit vegas norte sur 420 m sur norte 440m labelurl  ; j : 104. Sim : 0.33876872; No similar. 
 rt proantioquia1 eafit rafael aubad presidente proantioquia1 reflexiona rol sector privado incidir ; j : 105. Sim : 0.30543283; No similar. 
 hoyeneafit esperamos tercera sesion catedra flipeafit partir 900 be bloque 38101 entrada labelurl  ; j : 106. Sim : 0.60206264; Baja. 
 rt comfama juan luis mejia arango rector eafit habla importancia economia social lacealames16 label; j : 107. Sim : 0.5638332; Baja. 
 podemos aceptar aquellos cometieron delitos lesa humanidad vayan hacer politica charoguerra lospres; j : 108. Sim : 0.2170411; No similar. 
 eafit invita proximo 31 julio cineclub chaplin vida perro entrada libre esperamos labelurl  ; j : 109. Sim : 0.48951766; No similar. 
