Modulo nnlm-es-dim128-with-normalization-2
Topicos : noticiaun via colombia uniandes unisabana unimedios mas comsabana hoy 2016 estudiantes anos concierto 
 rt facisouniandes comienza diapaiz desafios eticos politicos metodologicos trabajo psicosocial acom; j : 125. Sim : 0.50293905; Baja. 
 departamento lenguas culturas extranjeras gana segunda vez premio mejor proyecto uso tecnologia lab; j : 126. Sim : 0.23610362; No similar. 
 rt ccykcolombia lasabanaabroad unisabana present the opportunities for collaboration with northern ; j : 127. Sim : 0.27816808; No similar. 
 rt hernanolano primer nivel foro precedente icesi unisabana derechousabana sofaunisabana trenusaban; j : 128. Sim : 0.21137884; No similar. 
 rt apgguzman 100 kg asientos ergonomicos alta resistencia mibicipostobon entregan 90 estudiantes un; j : 129. Sim : 0.18905173; No similar. 
 sinfonicaeafit momentos pasiones convertidos musica viaje ser humano traves vida mientras tr labelu; j : 130. Sim : 0.42380047; No similar. 
 noticiaun edificio matematicas recibe nombre yu takecuhi homenaje maestro fisico labelurl via unime; j : 131. Sim : 0.44835392; No similar. 
 disminuir tensiones primer reto nuevo presidente unidos opinion diego cediel via elpaiscali labelur; j : 132. Sim : 0.2974941; No similar. 
 ies lider pais alcanzando posicion 254 nivel mundial rank qs somosorgulloun topunis labelurl  ; j : 133. Sim : 0.38343292; No similar. 
 lenguas indigenas oficiales segun constitucion territorio decir estan cerradas resto selnich vivas ; j : 134. Sim : 0.34662378; No similar. 
 ciudadanos estan invitados formar parte nuevo proyecto ley incentivar uso vehiculos electrico  ; j : 135. Sim : 0.29101768; No similar. 
 rt sfcsupervisor informacion cierta suficiente clara oportuna consumidores tomen decisiones adecuad; j : 136. Sim : 0.072067924; No similar. 
 modelo buscamos integracion zonas produccion red nacional prepararnos temporadas lluvia lf andrade ; j : 137. Sim : 0.3241991; No similar. 
 comsabana cada monitor vemos posible futuro profesor apgguzman ahora ceremonia monitor unisabana  ; j : 138. Sim : 0.28321582; No similar. 
 rt vmanriquezul solo guajira crisis alimentaria afirma contralor general foro universidad rosario u; j : 139. Sim : 0.21668397; No similar. 
 rt consejoech asi vive urfestival2016 ritmo 33 urosarionews urosarioradio csuperioreur jrestrp dmuu; j : 140. Sim : 0.2900889; No similar. 
 hoy segundo dia cibecom fpradori presenta momento informe country rep track reputacion labelurl  ; j : 141. Sim : 0.34639385; No similar. 
