Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde 
 ctcolombia recursos petroleros pueden convertirse futuro energetico alternativo colombia cesar loza; j : 125. Sim : 0.48104474; No similar. 
 usocasabe dia hoy acompanamos trabajadores contraincendio campo casabe atendiendo conflicto laboral; j : 126. Sim : 0.50130194; Baja. 
 frasedeldia muchas malas razones empezar empresa solo buena razon creo sabes cua labelurl  ; j : 127. Sim : 0.23265116; No similar. 
 ano nuevo simboliza comienzo manana mejor nuevo comienzo lleno armonia luz anonimo  ; j : 128. Sim : 0.4234168; No similar. 
 asefincob felicitaciones union sindical obrera industria petroleo uso usofrenteobrero firma nueva c; j : 129. Sim : 0.4658054; No similar. 
 codirectora ana fernanda maiguashca participa hoy seminario foreign exchange intervention in inflat; j : 130. Sim : 0.27809945; No similar. 
 juankotico porvenir cumplio 20 anos impulsando atletismo colombiano parte aniversario compania pres; j : 131. Sim : 0.44029975; No similar. 
 codirectora ana fernanda maiguashca participa hoy seminario foreign exchange intervention in inflat; j : 132. Sim : 0.27809945; No similar. 
 bogeldorado muestra busca nacionales extranjeros aprecien riqueza arte colombiano minutos gran inau; j : 133. Sim : 0.32531402; No similar. 
 jorgeajurado manana hoy sala laboral tribunal bogota sentencia 2da instancia condeno petrosantander; j : 134. Sim : 0.43443888; No similar. 
 spituto seminario ideologico politico usofrenteobrero servicio ecopetrolsa intervencion dr jorge iv; j : 135. Sim : 0.52592057; Baja. 
 bcavirtual bcavirtual exmagistrado jorge ivan palacio asesor juridico uso negociaciones ecopetrol p; j : 136. Sim : 0.3707717; No similar. 
 bcavirtual bcavirtual video uso explica si posible huelga ecopetrol palmaedwin usofrenteobrero uso ; j : 137. Sim : 0.27161717; No similar. 
 organizacion sindical expresa condolencias ing felipe bayon presidente ecopetrolsa muerte senor pad; j : 138. Sim : 0.4562245; No similar. 
 palmaedwin producimos petroleo producir equidad reducir pobreza eduardo uribe vicepresidente entorn; j : 139. Sim : 0.4504994; No similar. 
 toma pequena pausa empieces nueva tarea tumente necesita momento prepararse cada actividad  ; j : 140. Sim : 0.23937136; No similar. 
 2000depan polyvintage lucaselmostacho bancosaval comin0 juankotico nanymartinis haroletto soyandrej; j : 141. Sim : 0.20761432; No similar. 
 benkosbiohofarc 29evamosporelfiscal robaron reficar asi quedo asunto ahora quieren vender todas emp; j : 142. Sim : 0.31688672; No similar. 
 si administradora pension detecta pago efectuado debe dar aviso incumplimiento empleador ugppcolomb; j : 143. Sim : 0.14908536; No similar. 
 si trabajador detecta empleador hace aportes pension puede denunciarlo ugpp administradora pension ; j : 144. Sim : 0.31073415; No similar. 
 ahora propuestas ecopetrolsa solo sido reducir redistribuir eliminar significa avances somosuso viv; j : 145. Sim : 0.25287217; No similar. 
 jorgeajurado tiempo disparan balas dirigentes carbon apoyaron colombia humana formulan cargos disci; j : 146. Sim : 0.35418147; No similar. 
 tipfinanciero incentiva hijos pensar modelos negocios lleven lleva generar ideas emprendimiento fut; j : 147. Sim : 0.29763332; No similar. 
 importa si entrenas dia noche si amas correr nacion atletismo unete labelurl soylanacion  ; j : 148. Sim : 0.30241403; No similar. 
