Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde anos 
 usofrenteobrero vamos defender ecopetrolsa vamos defender patrimonio publico vamos defender pliego ; j : 92. Sim : 0.28816947; No similar. 
 bcavirtual bcavirtual ecopetrol instituto von humboldt unen restaurar danos fortuna palmaedwin usof; j : 93. Sim : 0.19633926; No similar. 
 bcavirtual bcavirtual procuraduria cito ecopetrol tras emergencia ambiental lizama palmaedwin usofr; j : 94. Sim : 0.23571028; No similar. 
 uso condena denuncia brutal agresion objeto companera dibeth quintana lider sindical nu labelurl  ; j : 95. Sim : 0.3632077; No similar. 
 sindicato tenaris tubocaribe reclaman garantias ejercer libertad sindical llevan do dias huelga d l; j : 96. Sim : 0.43119258; No similar. 
 uso condena denuncia brutal agresion objeto companera dibeth quintana lider sindical nu labelurl  ; j : 97. Sim : 0.3632077; No similar. 
 jerobledo gran saludo usofrenteobrero celebrar 95 anos defendiendo recursos derechos trabajadores p; j : 98. Sim : 0.4527263; No similar. 
 usofrenteobrero empresa miente deslegitimar derecho huelga pone jefes coordinadores ingenieros repe; j : 99. Sim : 0.27821738; No similar. 
 mientras hoy actos solemnes uso ecopetrolsa instalamos mesa negociacion lado nivel pais labelurl  ; j : 100. Sim : 0.56898534; Baja. 
 bavvillas bancosaval dilaciones artimanas viola flagrantemente derecho negociacion colectiva radico; j : 101. Sim : 0.28841937; No similar. 
 bcavirtual bcavirtual video explican tragedia ingeniero campillo palmaedwin usofrenteobrero usoedwi; j : 102. Sim : 0.067202784; No similar. 
 bavvillas bancosaval dilaciones artimanas viola flagrantemente derecho negociacion colectiva radico; j : 103. Sim : 0.28841937; No similar. 
 sophyeo19 unebpliegos2017 uneb presenta hoy pliego peticiones citibankvamos mejores condiciones lab; j : 104. Sim : 0.25057414; No similar. 
 aorgulloso enscolombia felicita usofrenteobrero 96 anos existencia luchas laslos trabajadores neces; j : 105. Sim : 0.4124876; No similar. 
 usocasabe hoy hacemos homenaje fuerza amor ternura templanza todas mujeres trabajadoras empeno  ; j : 106. Sim : 0.24547271; No similar. 
 aidaavellae senor juanmansantos barranquenos sienten desplazados falta trabajo casi 50 ciento desoc; j : 107. Sim : 0.3048471; No similar. 
 usometa ex presidente corte constitucional explica valido socialozar derecho huelga sector petroler; j : 108. Sim : 0.10108817; No similar. 
 dcoronell emboscar personas calle insultarlas grabarlas nueva forma heroismo politico pataneria uri; j : 109. Sim : 0.27037615; No similar. 
 alejandropg81 fuerzas establecimiento colombiano estan campana abierta destruir sindicalismo autono; j : 110. Sim : 0.45884347; No similar. 
 andreskool usofrenteobrero ecopetrolsa nse cumplen mas 12 horas asamblea permanente trabajadores te; j : 111. Sim : 0.54116493; Baja. 
 lavicedetrabajo importante dialogo formalizacion laboral tercerizacion representates uso cut global; j : 112. Sim : 0.37246817; No similar. 
 andrespardoa colombia ultima encuesta cncnprimera vueltan23 santosn22 zuluagannsegunda vueltan39 zu; j : 113. Sim : 0.21658896; No similar. 
 usofrenteobrero uso pliego solo pidiendo mejores derechos empleados sino tambien planteando nece  ; j : 114. Sim : 0.31661463; No similar. 
 semana pasada empresa lupatech decidio despedir justa causa companero wilson calderon aun f labelur; j : 115. Sim : 0.4497188; No similar. 
 lasillavacia reunidos mesa hace casi mes ecopetrolsany sindicatos usofrenteobrero sindispetrol adec; j : 116. Sim : 0.34603095; No similar. 
 jorgeajurado ecopetrolsa despidio dirigente sindical usofrenteobrero joaquin padilla tener facultad; j : 117. Sim : 0.526511; Baja. 
 termino semana llego momento planear fin semana familia recarguemonos buena energia siempresepuede ; j : 118. Sim : 0.47325528; No similar. 
