Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit hoy paz rector universidad pm manana via be 
 eafit esperamos curso aplique paises aporte cooperacion regional america latina caribe unctad  ; j : 139. Sim : 0.49833944; No similar. 
 rt slondonouribe cambiando normas sino comportamientos rector juan luis mejia eafit centro integrid; j : 140. Sim : 0.4999153; No similar. 
 viernes sera catedra flip eafit comunicacion politica libertad prensa entrada libre registrarse lab; j : 141. Sim : 0.63144106; Baja. 
 mediano plazo mafias vuelven logros desarrollo rural marchitan guillermo garcia unodcesp foroungass; j : 142. Sim : 0.23198524; No similar. 
 hoyeneafit esperamos segunda sesion catedra flipeafit partir 830 be bloque 38101 entrada labelurl  ; j : 143. Sim : 0.52361476; Baja. 
 beneficio modelo busca transferir capacidades localidades hacer acuerdos sector privado luis f andr; j : 144. Sim : 0.22483362; No similar. 
 rt santiagocancion asi lucio leeranaldo thesonicyouth medellin magic poetic gracias eafit postales ; j : 145. Sim : 0.3714839; No similar. 
 recuerden manana primer foro regional fiscal general nacion nestor humberto martinez fiscaliacol  ; j : 146. Sim : 0.50586945; Baja. 
 resultados elca 2010 2017 hogares mujeres cabeza hogar pasaron 35 39 zonas urbanas labelurl  ; j : 147. Sim : 0.0916713; No similar. 
 rt encicla juan fernando ruiz eafit cuenta aprendizajes construccion encicla conjunto areametropol ; j : 148. Sim : 0.47252807; No similar. 
 jueves eafit pierdan tercera sesion catedra flipeafit esperamos partir 900 be bl labelurl  ; j : 149. Sim : 0.6168273; Baja. 
 caminar usar transporte publico realizar revisiones tecnomecanicas respeto educacion puntos decalog; j : 150. Sim : 0.3312551; No similar. 
 rt educaunisabana jesus murillorompe mold habla labor educador infantil consideran reservada mujere; j : 151. Sim : 0.29555547; No similar. 
 rt dagrdmedellin director zapatacamilo socializa plan municipal gestion riesgo desastres eafit herr; j : 152. Sim : 0.31689164; No similar. 
 inicia panel productividad jesus botero garcia rosario cordoba juansrobledo josefina agudelo presid; j : 153. Sim : 0.33140144; No similar. 
 hoyeneafit esperamos tercera sesion catedra flipeafit partir 900 be bloque 38101 entrada labelurl  ; j : 154. Sim : 0.5421961; Baja. 
 rt alcaldiademed escuchamos aun pod tomarte foto leekuanyewworldcityprize veni martes 18 octubre pi; j : 155. Sim : 0.35434595; No similar. 
 queremos ciudadania movilice alrededor tema calidad aire edison neira vicerrector universidad antio; j : 156. Sim : 0.4983155; No similar. 
