Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video 
 buenviernes comenzar dia queremos decir gracias acompanarnos 2016 ser parte comunidadun  ; j : 139. Sim : 0.4306193; No similar. 
 comunidadun inscribete curso hplc gc actualizate area control medicamentos info labelurl fcienciasu; j : 140. Sim : 0.3126124; No similar. 
 conoce mas cantaora guapi cauca video pacifico sur faustina orobio labelurl untelevision  ; j : 141. Sim : 0.4673242; No similar. 
 sede mayorca eafitidiomas estrena nuevo programa chino mandarin adultos conozcan mas labelurl  ; j : 142. Sim : 0.24452667; No similar. 
 proceso abierto sabemos mayoria grupos decide disolverse obtener resultados individualmente tp  ; j : 143. Sim : 0.30750754; No similar. 
 iii premio biblioteca narrativa colombiana mayoria obra vida patricia engel pbnc labelurl  ; j : 144. Sim : 0.20260416; No similar. 
 buscando opciones almorzar visite semana fopre cafe yoapoyoalfopre conozca menu restaurantes labelu; j : 145. Sim : 0.37837702; No similar. 
 comunidadun recuerda puedes enviarnos preguntas utilizando ht launcuenta balance social 2015 labelu; j : 146. Sim : 0.33305722; No similar. 
 preguntaron carl langebaek vicerrector academico cambios traera nueva reforma academica carlrespond; j : 147. Sim : 0.18904883; No similar. 
 noticiaun mantillaignacio pide sede bogota firme paz definitiva farc labelurl via radiosantafentc  ; j : 148. Sim : 0.42852718; No similar. 
 reconciliacion significa podamos hacer compromiso dirimir diferencias manera constructiva frankpear; j : 149. Sim : 0.18360168; No similar. 
 rt orinoquiaceo proposito gira productores maranon entidades apoyo puerto carreno vichada embrapa l; j : 150. Sim : 0.17909154; No similar. 
 dato segun instituto cervantes espanol hablado 567 millones personas mundo losperiodistasenunisaban; j : 151. Sim : 0.29286477; No similar. 
 imagen puede verse altura final puente actualidad altura temporal mas baja const labelurl  ; j : 152. Sim : 0.3675689; No similar. 
 programateun esperamos bogota 21 oct viene despues habitat iii habitat3followup inscribete labelurl; j : 153. Sim : 0.28172433; No similar. 
 feliznoche comunidadun esperamos sido gran dia manana regresaremos mas universidad unparatodos  ; j : 154. Sim : 0.58660537; Baja. 
 gustaria aprender competir siglo xxi buena gerenciamanana conferencia ernst pfeifer fr labelurl  ; j : 155. Sim : 0.2171435; No similar. 
 rt urosarioradio si pudiste asistir simposioemocionesconflictour relax aca podcast prensaurosario i; j : 156. Sim : 0.31254968; No similar. 
 hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 157. Sim : 0.32209834; No similar. 
 elblackparade buenos dias imagen encuentra progrmacion cine club semestre feliz dia labelurl  ; j : 158. Sim : 0.50669307; Baja. 
 126 participantes tres escritores finalistas iii premio biblioteca narrativa colombiana pbnc labelu; j : 159. Sim : -0.04752362; No similar. 
 estrategias mejoran profundizan aprendizaje motiva mas exito linda b nilson diadelprofesor urosario; j : 160. Sim : 0.2855598; No similar. 
 feliz noche comunidadun esperamos sido gran dia manana esperamos mas unparatodos labelurl  ; j : 161. Sim : 0.6631382; Baja. 
 hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 162. Sim : 0.3231341; No similar. 
 feliz noche comunidadun esperamos sido gran dia manana esperamos mas unparatodos labelurl  ; j : 163. Sim : 0.6631382; Baja. 
 feliz noche comunidadun esperamos gran miercoles ahora vamos descansar somosun unparatodos  ; j : 164. Sim : 0.6004505; Baja. 
 felizviernes comunidadun deseamos gran excelente dia mejores deseos hoy vacaciones unparatodos  ; j : 165. Sim : 0.58220345; Baja. 
 ser mujer indigena lucha diaria victimas racismo estereotipos natasha kanape haymedellin17  ; j : 166. Sim : 0.10200444; No similar. 
 hoy filbogota presentacion libros cabos sueltos lectura pecado capital pasos escorpion  ; j : 167. Sim : 0.3574542; No similar. 
 marshalcobos buenas tardes queremos conocer mas inconvenientes presentados favor envianos dato labe; j : 168. Sim : 0.3610072; No similar. 
 stefaherrera saludos gustaria conocer profundidad inquietud puede describirnos caso correo mgomezr2; j : 169. Sim : 0.34393603; No similar. 
 rt obsdemocracia apoyo procesodepaz depende tan buena aprobacion presidencial segun barometroameric; j : 170. Sim : 0.23614784; No similar. 
 queremos saber afectan resultados plebiscito negociaciones paz eln horizonte temporal renegociacion; j : 171. Sim : 0.29393038; No similar. 
 alejoa017 buenas tardes actividades academicas administrativas estan funcionando normalidad gracias; j : 172. Sim : 0.3464214; No similar. 
 rt craiur viniste semana literatura crai salas podras leer apasionarte literatura esper  ; j : 173. Sim : 0.2646122; No similar. 
 900000 millones pesos ano primera infancia adultos mayores habitantes calle duplicado recursos  ; j : 174. Sim : 0.19315973; No similar. 
 rectores g8 solidarizan udea rechazan uso indebido espacios academicos ver mas labelurl  ; j : 175. Sim : 0.19566204; No similar. 
 finalizo entrega iii premio biblioteca narrativa colombiana pbnc manana continuara haymedellin17 la; j : 176. Sim : 0.22202922; No similar. 
 queremos contarte vamos receso semanasanta volveremos ver 17 abril feliz semana labelurl  ; j : 177. Sim : 0.43465444; No similar. 
 comunidadun comencemos dia conociendo cuales mejores ies pais investigacion labelurl via revistasem; j : 178. Sim : 0.4878403; No similar. 
 gestion marca contexto digital articulo convenio pbsedueafit publicado palermo business revie  ; j : 179. Sim : 0.200422; No similar. 
 rt facisouniandes capacidad cambiar piel capacidad pasar mundo carlo ginzburg hombreslobo so  ; j : 180. Sim : 0.14396775; No similar. 
 mito pueda seguir creciendo agricultura sino proceso adecuacion tierras guillermobotero fenalconaci; j : 181. Sim : 0.17874806; No similar. 
 acuerdo mantillaignacio tiempo implementar grado 12 opinion elespectador juanmansantos infopresiden; j : 182. Sim : 0.2151996; No similar. 
 pronto iniciamos nuevo semestre academico cambios cursos ingles universidad debe conocer labelurl  ; j : 183. Sim : 0.28573602; No similar. 
 comunidadun hoy 300 pm festival musica latinoamericana siglo xx info labelurl entr labelurl  ; j : 184. Sim : 0.35039985; No similar. 
 lecuyeryoann buenos dias usted podria favor indicarnos medio puso queja fecha labelurl  ; j : 185. Sim : 0.5345902; Baja. 
 noticiaun centro pensamiento paz lista mundial think tank orgulloun piensapazunal labelurl unimedio; j : 186. Sim : 0.09725272; No similar. 
 domingo mayo saludo mamas unisabana amor ejemplo acompana cada dia felizdiadelamadre labelurl  ; j : 187. Sim : 0.46831846; No similar. 
 conferencia pasados ontologias alternativas estudio pasado 23 24 marzo mas informacion labelurl  ; j : 188. Sim : 0.3643182; No similar. 
 buenos dias miercoles apoyar corounisabana hoy audicion final concurso cantale papa labelurl  ; j : 189. Sim : 0.5094014; Baja. 
 noticiaun universidad nacional pide ser sede firma paz farc labelurl via noticiascaracol  ; j : 190. Sim : 0.29668173; No similar. 
 nunca recibido solo centavo hecho vendido bus volvo mentira grotesca enriquepenalosa  ; j : 191. Sim : 0.26323554; No similar. 
 1era vez sede orinoquia presentan 1998 aspirantes peama launcuenta mantillaignacio admisionesun lab; j : 192. Sim : 0.24723582; No similar. 
 descarga aplicacion circularun enterate actividades eventos unparatodos disponible ios android  ; j : 193. Sim : 0.41875303; No similar. 
 consejos expresatebien comunicate mejor aplicarlos diariamente campanaun labelurl feliz fin semana ; j : 194. Sim : 0.4168175; No similar. 
 rt obsdemocracia obsdemocracia noticia latinoamerica portal infolatam anticipa resultados historico; j : 195. Sim : 0.35858554; No similar. 
 terminar gran dia sintoniza programacion unradio labelurl 985unradio unradioweb feliz noche  ; j : 196. Sim : 0.4606254; No similar. 
 terminemos dia interesantes charlas ver metacampusun video labelurl feliz noche unparatodos  ; j : 197. Sim : 0.6185604; Baja. 
 hoy gran dia hacer deporte amigos sentirte bien dirbienestarun bienestarbogota foto labelurl  ; j : 198. Sim : 0.39992002; No similar. 
 terminemos dia interesantes charlas ver metacampusun video labelurl feliz noche unparatodos  ; j : 199. Sim : 0.6185604; Baja. 
 comunidadun perdiste rendicion cuentas 2015 uncolombia encuentra video aqui labelurl launcuenta  ; j : 200. Sim : 0.5838703; Baja. 
 comunidadun fin semana encuentra documentales aqui video labelurl feliz viernes untelevision  ; j : 201. Sim : 0.65055215; Baja. 
 comunidadun consejos expresatebien comunicate mejor aplicar dias labelurl feliz noche campanaun  ; j : 202. Sim : 0.5609903; Baja. 
 rt hernanolano falsas frases bulos atribuidas pontifexes espere elnuevosiglo articulo verdaderos be; j : 203. Sim : 0.26722014; No similar. 
 boletinun ver leer escuchar encuentras aqui labelurl untelevision unimedios 985unradio unparatodos ; j : 204. Sim : 0.35752758; No similar. 
 buenos dias feliz comienzo semana felizlunes toda comunidadun acompana diariamente labelurl  ; j : 205. Sim : 0.6510712; Baja. 
 comunidadun consejos expresatebien comunicate mejor puedes encontrarlos aqui labelurl aplicalos cam; j : 206. Sim : 0.37004524; No similar. 
 comunidadun escucha unradio descargando nueva app disponible ios android 985unradio labelurl  ; j : 207. Sim : 0.34699386; No similar. 
 comunidadun eventos actividades academicas culturales uncolombia estan aqui labelurl circularun unp; j : 208. Sim : 0.4663976; No similar. 
 comunidadun deseamos gran semana comencemos dia informacion unparatodos labelurl unimedios felizlun; j : 209. Sim : 0.677485; Media. 
 terminar lunes musica unradio emision web labelurl unradioweb feliz noche comunidadun  ; j : 210. Sim : 0.5587043; Baja. 
 comunidadun feliznoche feliz fin semana proxima semana volvemos mas unparatodos labelurl  ; j : 211. Sim : 0.6890094; Media. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 212. Sim : 0.75100875; Media. 
 comunidadun conode informacion ver leer escuchar boletinun labelurl unimedios 985unradio untelevisi; j : 213. Sim : 0.29451868; No similar. 
 feliznoche terminemos semana conociendo repositorio digital metacampusun labelurl feliz fin semana ; j : 214. Sim : 0.46854043; No similar. 
 feliz comienzo semana comunidadun gran lunes informacion unparatodos labelurl unimedios somosun  ; j : 215. Sim : 0.6431722; Baja. 
 feliz noche comunidadun terminemos dia musica unparatodos video playback unmedellin labelurl  ; j : 216. Sim : 0.67326635; Media. 
 piedadmaya orgulloun mantillaignacio ramirochm ffchaparro 985unradio unimedios vriun editorialun ci; j : 217. Sim : 0.02557352; No similar. 
