Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 
 rt memoriauniandes ayeryhoy estudiantes profesores convirtieron estatua san alberto magno elementos; j : 142. Sim : 0.31311578; No similar. 
 aun saben estudiar estudiantes 10 11 12 26 27 abril invitamos experienciaeafit labelurl  ; j : 143. Sim : 0.3818172; No similar. 
 libro chef gaviria acaba ser galardonado mejor mundo gourmand world cookbook award labelurl  ; j : 144. Sim : 0.06662971; No similar. 
 rt upbcolombia decalogo sosporelaire distancias medianas deben recorrerse vehiculos motorizados pue; j : 145. Sim : 0.205594; No similar. 
 hoyeneafit plazoleta estudiante viste luces esperamos exhibicion the light be on entrada labelurl  ; j : 146. Sim : 0.32424104; No similar. 
 charla icea estrategias market millennials marzo 28 200 pm 400 pm auditorio k 1 labelurl  ; j : 147. Sim : 0.4162702; No similar. 
 despues 10 anos marisa martins regresa cautivar publico lirica voz junto sinfonicaeafit labelurl  ; j : 148. Sim : 0.40824112; No similar. 
 rt oaduniandes san alberto magno elementos mas representativos uniandes celebra hoy fiesta anual la; j : 149. Sim : 0.404001; No similar. 
 rt oaduniandes enlamemoria bertha eugenia laserna brando secretaria general facultad ingenieria ing; j : 150. Sim : 0.25445065; No similar. 
 rt oaduniandes enlamemoria hernan echavarria olozoga 19112006 entrega doctorado honoris causa nelso; j : 151. Sim : 0.224812; No similar. 
 tan facil va ser resocializacion menores farc analisis neila diaz via eltiempo labelurl  ; j : 152. Sim : 0.41608346; No similar. 
 rt jeronimorivera manana tendre invitada lujo direcciondeactores unisabana buena amiga gran actriz ; j : 153. Sim : 0.38045567; No similar. 
 descriminalizacion reserva medida paises niveles consumo elevados general r jose leonardo gallego f; j : 154. Sim : 0.038731474; No similar. 
 hoy celebramos dia bacteriologo conmemoracion natalicio doctor federico lleras acosta gracias to la; j : 155. Sim : 0.42400113; No similar. 
 rt derechousabana decano cordobamarentes presenta ponencia congreso mundial derecho autor alai roma; j : 156. Sim : 0.2561174; No similar. 
 tan facil va ser resocializacion menores farc neila diaz psicosabana1 via eltiempo labelurl  ; j : 157. Sim : 0.4117374; No similar. 
 rt hernanolano uchile vi congreso latinoamericano historia derecho derechousabana unisabana obdulio; j : 158. Sim : 0.22927868; No similar. 
 hablamos mitos leyendas agueros hacen parte folclor estan asociados medio ambiente vallenato  ; j : 159. Sim : 0.19532552; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 160. Sim : 0.31092098; No similar. 
 rt editorialur consulta previa consentimiento libre previo informado pueblos indigenas colombia 2a ; j : 161. Sim : 0.40106833; No similar. 
 kathryn clifton recomienda usar google adwords identificar palabras clave hagan atractivos titulos ; j : 162. Sim : 0.13583799; No similar. 
 si partir fracturar volver rearmarnos mejor momento ma paulina baena pulla elespectador  ; j : 163. Sim : 0.16940306; No similar. 
 escritora poeta performer arubena rosabelle illes dejo nuevo mensaje buzon 070 filbo2016 labelurl  ; j : 164. Sim : 0.1487473; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 165. Sim : 0.6043799; Baja. 
 rt memoriauniandes ayeryhoy nuevo bloque c edificio facultad arquituniandes throwbackthursday logro; j : 166. Sim : 0.33191457; No similar. 
 rt fisicauniandes estan cordialmente invitados tercer journal club optica cuantica periodo intersem; j : 167. Sim : 0.340096; No similar. 
 lenguas indigenas oficiales segun constitucion territorio decir estan cerradas resto selnich vivas ; j : 168. Sim : 0.30408567; No similar. 
 ser adulto mayor colombia karma pobreza abandono exclusion informe posmedunisabana via revistaseman; j : 169. Sim : 0.34911925; No similar. 
 escucha donkristobal the warriors concierto ser pilo paga universidad ces 6 octubre 100 p labelurl ; j : 170. Sim : 0.3282196; No similar. 
 rt facisouniandes comienza diapaiz desafios eticos politicos metodologicos trabajo psicosocial acom; j : 171. Sim : 0.42150673; No similar. 
 constitucion 91 incluyo contexto declara pertenece mundo cabemos habla conflicto clara atehortua  ; j : 172. Sim : 0.045602452; No similar. 
 rt maesaludydiscap viernes plazo hacer parte programa unisabana si aun dudas escribenos ht  ; j : 173. Sim : 0.35043028; No similar. 
 rt inguniandes conoce ingeniero industrial detras multinacional 3m enrique turk egresado destacado ; j : 174. Sim : 0.103351735; No similar. 
 hoy segundo dia cibecom fpradori presenta momento informe country rep track reputacion labelurl  ; j : 175. Sim : 0.32761046; No similar. 
 rt comsabana quieres formar parte univ2017 roma invitamos obtener mas informacion univcongress unis; j : 176. Sim : 0.47456437; No similar. 
 rt bibliotecaur despierta creatividad expoinvisble conoce diccionario dudas ilustrado sala general ; j : 177. Sim : 0.07154731; No similar. 
 sebastiandiazlo si desea puede enviarnos consulta correo mgomezr2eafiteduco enviarla directamente a; j : 178. Sim : 0.29360417; No similar. 
 rt oaduniandes ayeryhoy prado san alberto magno importante punto encuentro uniandes throwbackthursd; j : 179. Sim : 0.29983017; No similar. 
 rt consejoech asi vive urfestival2016 ritmo 33 urosarionews urosarioradio csuperioreur jrestrp dmuu; j : 180. Sim : 0.15997775; No similar. 
 deportista laura sofia agudelo logro medalla oro distrital mayores bogota conoce mas labelurl  ; j : 181. Sim : 0.32334745; No similar. 
 rt chechecifuentes almorzando yarumal tierra natal ilustre octavio arismendi qepd ex gobantioquia f; j : 182. Sim : 0.2753416; No similar. 
 obdulio habla revistasemana serpilopaga mas palo programa ser pilo paga labelurl educacion colombia; j : 183. Sim : 0.34363046; No similar. 
 joseconde96 si desea puede enviarnos datos contacto traves mensaje directo hacer seguimiento labelu; j : 184. Sim : 0.1445659; No similar. 
 rt biblioeafit hoy truequeliterarioeafit haremos enfasis proposito hacer cada dia leamos mas univer; j : 185. Sim : 0.40291938; No similar. 
 rt inguniandes manana 21 abril tres grandes conferencias nuevas tecnologias semanasistemasieee 2016; j : 186. Sim : 0.4077074; No similar. 
 rt aspromer gran congreso mercadeo logistica unisabana felicitaciones 10 anos amli aspromer celebra; j : 187. Sim : 0.4518926; No similar. 
 rt hectorabadf volver biblioeafit eafit sentirse acompanado libros estudiantes arboles orquideas es; j : 188. Sim : 0.2907991; No similar. 
 conflicto armado colombia dejado 25 millones ninos victimas estudio unisabana via elpaiscali labelu; j : 189. Sim : 0.4670654; No similar. 
 alejandra solarte universidad cauca obtuvo segundo lugar pedro juan vallejo pelaez eafit labelurl  ; j : 190. Sim : 0.26138976; No similar. 
 colombomedellin hoy primer dia programa liderazgo kyb eafit 6 jovenes nashville aprenden empoderami; j : 191. Sim : 0.37976608; No similar. 
 acerca dia internacional danza eafit celebracion sera 28 abril partir 300 pm labelurl  ; j : 192. Sim : 0.40914324; No similar. 
 comsabana cada monitor vemos posible futuro profesor apgguzman ahora ceremonia monitor unisabana  ; j : 193. Sim : 0.3068927; No similar. 
 orgulloun do paisas primeras colombianas nado sincronizado rio2016 labelurl unmedellin udea via elt; j : 194. Sim : 0.4097979; No similar. 
 estudiantes 10 11 12 pierdan manana oportunidad vivir experiencia eafit mas informacion labelurl  ; j : 195. Sim : 0.5554365; Baja. 
 estan invitados 10 12 octubre foro ciudades bajas carbono mas informacion programa labelurl  ; j : 196. Sim : 0.41489172; No similar. 
 rt vocesrcn va haber ligero deterioro materia empleo 2017 incremento tasa desempleo viend  ; j : 197. Sim : -0.09303598; No similar. 
 rt teleantioquia noche tanoticias konico restaurante experiencias gastronomicas provenza laureles e; j : 198. Sim : 0.35070717; No similar. 
 rt katarod campesinos sumapaz contando dia dia retos dialogando construyendo pais diapaiz unia  ; j : 199. Sim : 0.42537314; No similar. 
 manana foro ciudades bajas carbono creando soluciones colectivas estan invitados mas informacion la; j : 200. Sim : 0.4033443; No similar. 
 rt inguniandes casos exitosos implant corazon artificial viii sem ingenieria biomedica bio uniandes; j : 201. Sim : 0.32843003; No similar. 
 departamento lenguas culturas extranjeras gana segunda vez premio mejor proyecto uso tecnologia lab; j : 202. Sim : 0.18331392; No similar. 
 manana voyentren nueva parada novena calle 147 607 be movilidad bogota trenusabana labelurl  ; j : 203. Sim : 0.33317915; No similar. 
 comsabana atentos recibimos inquietudes dudas elaboracion horarios traves dm mayor informacion unis; j : 204. Sim : 0.49836642; No similar. 
 trabaje gratis vender bus siento orgulloso haber sido presidente junta itdp enriquepenalosa  ; j : 205. Sim : 0.115566336; No similar. 
 rt jrestrp extraordinario nuevo consejero hernando sanchez sanchez abogado urosarionews destacado j; j : 206. Sim : 0.048870225; No similar. 
 rt economiauandes fotos hackathon desarrollo soluciones cognitivas datos abiertos gobierno dnpcolom; j : 207. Sim : 0.10302693; No similar. 
 ciudadanos estan invitados formar parte nuevo proyecto ley incentivar uso vehiculos electrico  ; j : 208. Sim : 0.27210587; No similar. 
 hoyeneafit auditorio fundadores recibe sinfonicaeafit v concierto temporada 2017 mass in blu labelu; j : 209. Sim : 0.3095027; No similar. 
 rt unisabanaradio asi desarrollo lanzamiento tecnicas profesionales cocina colombiana chef carlos g; j : 210. Sim : 0.3148509; No similar. 
 rt politicaur medida acabe conflicto armado va subir demanda social claudialopez politicaur urosari; j : 211. Sim : 0.059497274; No similar. 
 rt uniandinosiempr colombia necesitamos liderazgo servicio oportunidad contribuir hoy frank pearl i; j : 212. Sim : 0.31960306; No similar. 
 invertir quieroestudiar inversion mayor retorno andres morales socio sublat franquicia subway label; j : 213. Sim : 0.2722185; No similar. 
 rt deportessabana voleibol masculino clasifica finales cerros girardot comsabana bienestarsabana ei; j : 214. Sim : 0.30156153; No similar. 
