Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario inconvenientes 2018 2017 eeuu ofrecemos disculpas 2016 2014 2015 inflacion 
 informe diario septiembre 24 2014 ventas vivienda nueva eeuu aumentaron 18 mm agosto labelurl  ; j : 93. Sim : 0.46621835; No similar. 
 informe diario febrero 26 2014 mercados expectantes segunda revision crecimiento pib 2013 eeuu labe; j : 94. Sim : 0.5181935; Baja. 
 informe diario septiembre 23 2014 pmi manufacturero eeuu mantiene nivel mas alto abril 2010 labelur; j : 95. Sim : 0.47558656; No similar. 
 informe diario mayo 25 2015 deficit balanza comercial japon inferior esperado mercado abril labelur; j : 96. Sim : 0.46807215; No similar. 
 informe diario marzo 27 2014 economia eeuu crecio 19 2013 26 anualizado 4t13 labelurl  ; j : 97. Sim : 0.5516529; Baja. 
 monitor banquero central abril 27 2016 esperamos banrep suba tasa intervencion 65 675 labelurl  ; j : 98. Sim : 0.29885843; No similar. 
 informe diario mayo 19 2015 ventas vivienda nueva permisos construccion eeuu aumentan abril labelur; j : 99. Sim : 0.4934603; No similar. 
 informe diario abril 20 2016 ventas vivienda existente eeuu crecieron 51 mm marzo labelurl  ; j : 100. Sim : 0.4812387; No similar. 
 bbancorepublica 25 mayo fecha limite envio ensayos concurso banca escolar banca central ini  ; j : 101. Sim : 0.22221671; No similar. 
 informe diario julio 8 2015 minutas feed revelan menos optimismo mayor incertidumbre dentro comite ; j : 102. Sim : 0.43380395; No similar. 
 informe diario noviembre 9 2017 indicador inversion obras civiles crecio 86 aa 3t17 nlabelurl  ; j : 103. Sim : 0.4883935; No similar. 
 informe diario septiembre 29 2014 gasto consumo personal eeuu crece 05 mm agosto labelurl  ; j : 104. Sim : 0.4744906; No similar. 
 informe diario abril 29 2014 mercados expectativa dato pib eeuu 1t14 reunion feed labelurl  ; j : 105. Sim : 0.59423524; Baja. 
 informe diario febrero 3 2016 pmi compuesto eeuu refleja menor expansion economica octubre 2013 lab; j : 106. Sim : 0.4897055; No similar. 
 informe diario marzo 30 2015 gasto consumo personal eeuu crece debajo expectativas febrero labelurl; j : 107. Sim : 0.47418916; No similar. 
 informe diario mayo 24 2016 ventas vivienda nueva eeuu disparan ritmo historicamente alto labelurl ; j : 108. Sim : 0.47118172; No similar. 
 informe diario agosto 27 2014indices bursatiles mixtos expectantes primera revision pib 2t14 eeuu l; j : 109. Sim : 0.5077379; Baja. 
 informe diario marzo 17 2015 economia colombiana crecio 35 aa cuarto trimestre 2014 labelurl  ; j : 110. Sim : 0.5445693; Baja. 
 informe diario mayo 21 2014 medio publicacion minutas feed boe mercados cierran alza labelurl  ; j : 111. Sim : 0.48835286; No similar. 
 informe diario agosto 25 2016 eeuu ordenes durables julio crecen despues do caidasnlabelurl  ; j : 112. Sim : 0.6315737; Baja. 
 informe diario febrero 23 2015 cifra venta vivienda usada eeuu mas baja abril pasado labelurl  ; j : 113. Sim : 0.42184928; No similar. 
 informe diario septiembre 16 2014 pib colombia crecio 43 aa segundo trimestre 2014 labelurl  ; j : 114. Sim : 0.5050374; Baja. 
 informe diario febrero 24 2016 pmi servicios eeuu refleja primera contraccion sector 2013nlabelurl ; j : 115. Sim : 0.5046617; Baja. 
 informe diario enero 13 2016 adjudico 5761 tenia minhacienda isagen sa fondo brookfield labelurl  ; j : 116. Sim : 0.49791887; No similar. 
 informe diario marzo 20 2014 economia colombiana crecio 43 2013 linea expectativa 42 labelurl  ; j : 117. Sim : 0.49983355; No similar. 
 2017 economia nal habria terminado proceso ajuste caida precio petroleo registrada 2014 vea labelur; j : 118. Sim : 0.45837194; No similar. 
 monitor banquero central septiembre 25 2014 esperamos banrep deje tasa politica monetaria 45 labelu; j : 119. Sim : 0.25124544; No similar. 
 informe diario enero 16 2014 datos macroeconomicos mixtos eeuu eurozona influyen indices bursatiles; j : 120. Sim : 0.53715575; Baja. 
 monitor banquero central febrero 19 2015 esperamos tasa politica monetaria mantenga hoy 45 labelurl; j : 121. Sim : 0.23739316; No similar. 
 informe diario febrero 26 2015 inflacion eeuu ubico terreno negativo primera vez 2009 labelurl  ; j : 122. Sim : 0.49420276; No similar. 
 informe diario julio 15 2015 janet yellen ratifico expectativa incremento tasas presente ano labelu; j : 123. Sim : 0.5494753; Baja. 
 informe diario septiembre 7 2015 tes cayeron mayor inflacion colombia llego agosto 474 aa labelurl ; j : 124. Sim : 0.4977084; No similar. 
 monitor banquero central julio 30 2014 hoy esperamos tasa politica monetaria aumente 425 labelurl  ; j : 125. Sim : 0.29241726; No similar. 
 bbanrepeduca banca escolar banca central concursaron 4182 estudiantes grados 10 11 12 prove labelur; j : 126. Sim : 0.16908357; No similar. 
 encuesta clima negocios alemania cae 1083 1062 brexit mayor caida mes mes 2012 labelurl  ; j : 127. Sim : 0.3751161; No similar. 
 monitor banquero central agosto 28 2014 hoy esperamos tasa politica monetaria aumente 45 labelurl  ; j : 128. Sim : 0.2584564; No similar. 
 monitor banquero central noviembre 27 2014 esperamos tasa politica monetaria mantenga hoy 45 labelu; j : 129. Sim : 0.23046014; No similar. 
 monitor banquero central enero 30 2015 esperamos tasa politica monetaria mantenga hoy 45 labelurl  ; j : 130. Sim : 0.2761611; No similar. 
 monitor banquero central junio 19 2014 hoy esperamos tasa politica monetaria aumente 425 labelurl  ; j : 131. Sim : 0.25418085; No similar. 
 monitor banquero central abril 24 2014 hoy esperamos tasa politica monetaria mantenga 325 labelurl ; j : 132. Sim : 0.24024265; No similar. 
 monitor banquero central diciembre 18 2014 esperamos tasa politica monetaria mantenga hoy 45 labelu; j : 133. Sim : 0.24072905; No similar. 
 informe diario julio 14 2014 bce mantendra tasas inter niveles minimos tiempo prolongado labelurl  ; j : 134. Sim : 0.49087065; No similar. 
 monitor banquero central marzo 20 2014 hoy esperamos tasa politica monetaria mantenga 325 labelurl ; j : 135. Sim : 0.25542113; No similar. 
 informe diario julio 11 2016 bonos holandeses 10 anos caen terreno negativo nlabelurl  ; j : 136. Sim : 0.40807495; No similar. 
 informe diario mayo 7 2015 mercados eeuu responden alza tras bajas peticiones subsidio desempleo la; j : 137. Sim : 0.5667916; Baja. 
 monitor banquero central julio 27 2016 esperamos banrep mantenga tasa inter 75 viernes labelurl  ; j : 138. Sim : 0.20924729; No similar. 
 informe diario marzo 30 2016 reporte empleo adp sugiere dinamismo mercado laboral eeuu labelurl  ; j : 139. Sim : 0.5483299; Baja. 
 informe diario agosto 21 2014indices bursatiles positivos medio datos mixtos eeuu eurozona china la; j : 140. Sim : 0.42274034; No similar. 
 informe diario enero 19 2015 mercados europeos alza anticipacion nuevas medidas estimulo semana lab; j : 141. Sim : 0.40575698; No similar. 
 informe diario julio 23 2014 indices bursatiles resultados mixtos medio escasa publicacion datos la; j : 142. Sim : 0.46733272; No similar. 
 informe diario septiembre 17 2014 feed eeuu reitero mantendra tasas bajas tiempo considerable label; j : 143. Sim : 0.5817332; Baja. 
 informe diario diciembre 28 2016 eeuu ventas pendientes vivienda cayeron 25 mm nlabelurl  ; j : 144. Sim : 0.5459639; Baja. 
