Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente economicos ecopetrol indicadores 
 carlosecaicedo 885599 firmas avaladas registraduria colocan segunda campana mayor apoyo parte co  ; j : 85. Sim : 0.16477688; No similar. 
 juankotico porvenir cumplio 20 anos impulsando atletismo colombiano parte aniversario compania pres; j : 86. Sim : 0.53646183; Baja. 
 benkosbiohofarc 29evamosporelfiscal robaron reficar asi quedo asunto ahora quieren vender todas emp; j : 87. Sim : 0.31280556; No similar. 
 juankotico porvenir cumplio 20 anos impulsando atletismo colombiano parte aniversario compania pres; j : 88. Sim : 0.53646183; Baja. 
 ahora propuestas ecopetrolsa solo sido reducir redistribuir eliminar significa avances somosuso viv; j : 89. Sim : 0.2233478; No similar. 
 usofrenteobrero mintrabajocol sanciono ecopetrolsa tener acuerdo 0177 dar mejores beneficios trabaj; j : 90. Sim : 0.30862138; No similar. 
 bcavirtual bcavirtual video uso explica si posible huelga ecopetrol palmaedwin usofrenteobrero uso ; j : 91. Sim : 0.28764808; No similar. 
 reunion propuesta presidente donald trump xi jinping poner fin disputa comercial pod labelurl  ; j : 92. Sim : 0.301022; No similar. 
 cirofernandezn pensar hacer fracking suelos colombia deberia hacer estudio serio cuenta impac  ; j : 93. Sim : 0.39540556; No similar. 
 reunion propuesta presidente donald trump xi jinping poner fin disputa comercial pod labelurl  ; j : 94. Sim : 0.301022; No similar. 
 toma pequena pausa empieces nueva tarea tumente necesita momento prepararse cada actividad  ; j : 95. Sim : 0.19262983; No similar. 
 importa si entrenas dia noche si amas correr nacion atletismo unete labelurl soylanacion  ; j : 96. Sim : 0.37485394; No similar. 
 janethnoticias barrancabermeja asi amanecimos banados catalizador ecopetrolsa joder refineria si ne; j : 97. Sim : 0.43512365; No similar. 
 laamayaa consulte circular externa operativa servicios dte190 asunto 41 nuevas monedas metalicas la; j : 98. Sim : 0.17229223; No similar. 
 camilosilvaj bogota tambien cubriendo asamblea bancosaval equipo valoraanalitik hoy desplegado vari; j : 99. Sim : 0.38898754; No similar. 
 intiasprilla mas tres horas debate control politico crisis ambiental pozo lizama sigo espera  ; j : 100. Sim : 0.43071026; No similar. 
 hijo pidio maleta nueva aunque anterior aun sirvensi senornsi leiste cantando nuest labelurl  ; j : 101. Sim : 0.25673577; No similar. 
 2000depan polyvintage lucaselmostacho bancosaval comin0 juankotico nanymartinis haroletto soyandrej; j : 102. Sim : 0.24881394; No similar. 
 valoraanalitik decidio dividendos pagaran dentro diez primeros dias cada mes acuerdo reglamenta  ; j : 103. Sim : 0.3212963; No similar. 
 entra facebook live usofrenteobrero mira intervencion expresidente corte dr jorge ivan palacio labe; j : 104. Sim : 0.4579921; No similar. 
 banrepcultural atencion tunja bancorepublica inicia restauracion claustro san agustin ejemplo arqui; j : 105. Sim : 0.350962; No similar. 
 jorgeajurado manana hoy sala laboral tribunal bogota sentencia 2da instancia condeno petrosantander; j : 106. Sim : 0.47851503; No similar. 
 ctcolombia recursos petroleros pueden convertirse futuro energetico alternativo colombia cesar loza; j : 107. Sim : 0.5356407; Baja. 
 levantate temprano dale bienvenida nueva semana empezar buena energia creer cada dia labelurl  ; j : 108. Sim : 0.3831573; No similar. 
 oeccuninorte eventouninorte expertos icetex bancorepublica uncolombia estaran foro politicas public; j : 109. Sim : 0.52436346; Baja. 
 levantate temprano dale bienvenida nueva semana empezar buena energia creer cada dia labelurl  ; j : 110. Sim : 0.3831573; No similar. 
 justributaria bloggeros revistadinero si vende ecopetrolsa pierde ingresos habria buscar fuente qu ; j : 111. Sim : 0.3921121; No similar. 
 usometa analizar cifras conflicto uso ecopetrol nmerece revisar manejo grandes utilidades empresa l; j : 112. Sim : 0.3544002; No similar. 
 workingpaper 1033 by juan esteban carranza alejandra gonzalezramirez and alex perez qualityofproduc; j : 113. Sim : 0.3877443; No similar. 
 hoy dia hacer mas gusta organiza temas pendientes prepararte empezar semana mejor forma  ; j : 114. Sim : 0.2710948; No similar. 
 hoy sesiono comision revisara tema recargos nocturnos personal tecnico supervisor profesional po la; j : 115. Sim : 0.43344268; No similar. 
 wilson291085 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 usom; j : 116. Sim : 0.08874562; No similar. 
 jairo90196426 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 uso; j : 117. Sim : 0.26477444; No similar. 
 jafiru1963 minambienteco ecopetrolsa diarioeltiempo canalrcn noticiascaracol usofrenteobrero nsobre; j : 118. Sim : 0.29824623; No similar. 
 polodemocratico polodemocratico saluda firma nueva convencion colectiva trabajo usofrenteobreroecop; j : 119. Sim : 0.18800603; No similar. 
 frankyzayas usofrenteobrero ecopetrolsa union sindical obrera uso presente presente fuerzas camarad; j : 120. Sim : 0.46824223; No similar. 
 castillasenador caluroso saludo usofrenteobrero 95 anos lucha resistencia movilizacion defensa hidr; j : 121. Sim : 0.5002449; Baja. 
 gustavotrianasu polodemocratico saluda firma nueva convencion colectiva trabajo usofrenteobreroecop; j : 122. Sim : 0.19014476; No similar. 
 bcavirtual bcavirtual uso protesta ecopetrol distorsion hace pliego peticiones palmaedwin usofrente; j : 123. Sim : 0.23500839; No similar. 
 usofrenteobrero usofrenteobrero rechaza sistematica persecucion sindical viene siendo objeto compan; j : 124. Sim : 0.48377585; No similar. 
 usofrenteobrero rechaza despido companero dirigente sindical uso cartagena joaquin padilla ejec lab; j : 125. Sim : 0.5290356; Baja. 
 bsintraaval apoya acdac1 perenne lucha paso atras companers justicia social paz labelurl  ; j : 126. Sim : 0.35233325; No similar. 
